,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102
Caki-1,-0.23927608,-0.840602,0.05343025,-1.3325518,0.4786716,0.93420416,1.4927154,-0.22253567,0.96677923,0.4077866,0.2937033,-0.364534,-0.52337915,0.7477479,0.8991977,0.33133405,0.6260093,-0.054512218,-0.42700115,0.5085637,-0.2058731,1.0718653,-0.39247403,0.50972104,0.98561186,-0.42531124,-1.0391374,0.5402329,0.8660859,-0.29762554,0.61962146,-0.44011348,-1.3942708,-1.1301597,0.13887668,0.08833328,0.6761128,0.61015815,0.19176832,1.4581,-0.34051052,0.82057244,0.7150364,1.303701,1.0404285,-0.077213116,-1.2086705,0.5438038,-0.9877221,0.4783299,-0.71291256,-0.75063354,0.22508152,0.6347802,0.25077167,0.31769422,0.5137236,-0.89584094,-1.4671059,-0.09860971,0.25188172,1.1688623,-1.5100865,-0.62585753,0.79300535,0.36345914,-0.95466745,0.6014255,-0.72136396,-0.7256388,-0.7775384,0.20913059,-0.4736586,-1.0303992,-0.54512155,-0.655164,-0.035299256,-0.8587493,0.10530913,-0.72577995,0.57737696,-0.75965047,1.0606976,0.71907705,-0.5075056,0.6596095,0.15553328,1.107157,0.6853107,0.19034553,-1.6466733,0.7263027,-0.5166293,-1.3182063,-0.70852417,-0.12788397,-0.061635777,0.822192,-0.007611707,-0.29331073,0.29430845,-0.027641043,1.0001593
Rh30,-0.50338876,0.21005328,-1.6524338,1.3326995,0.8675142,-3.2187045,-1.988821,2.3221827,-1.5657598,-1.0029827,-1.1944733,0.07472219,0.42693108,-0.7748624,0.21373361,0.15495151,0.8456161,-0.631797,0.010775298,-0.09023693,1.9280412,-0.6878017,0.3655175,-1.0522019,-0.6307611,-0.045338556,0.64281654,-0.20342022,-0.5426395,0.35257816,-0.5565203,0.80349463,0.35035965,-0.4965256,1.023143,1.017476,-0.025144447,-0.9326884,1.5519987,0.55390155,-0.18241245,-0.40775216,1.0568008,-1.7601372,0.19845507,0.21658786,0.99402475,-1.2512095,0.5984516,-0.0009901673,2.406644,1.2049975,2.037201,1.7125252,-1.7915932,-1.3030279,-0.1048916,0.8616005,-0.84808874,1.2523698,-0.29487807,-1.4954808,0.55548614,-0.55205107,-1.2972806,-0.36422443,1.7983752,-0.4701807,3.0548623,2.2257724,0.5183896,0.7516463,0.08012913,1.1314586,-0.39241195,2.000193,0.9028633,-0.33480415,-0.7354663,0.54278636,-1.2777631,1.283324,-1.3522394,-1.5921185,1.2963185,-1.0520513,1.0567523,1.167933,-0.48768783,1.7480682,-0.63680434,-1.3408215,-1.1455649,2.7107506,-0.44455191,2.7512693,-0.7813068,-2.430491,-1.4939436,-0.52706164,0.750584,-0.43224066,-1.2834965
SNU-1,-1.2277614,0.20305376,0.33995166,-0.26644763,-1.1515647,-0.59374493,0.3354011,-0.21196769,0.45842025,0.38743865,0.6564199,0.5404398,1.0506198,0.20345202,1.3855488,-0.6919783,0.53885156,1.8113108,-0.39908585,1.8558372,0.40082604,0.063275404,0.15739705,-0.5802818,0.86603063,-0.7855014,-0.45086566,0.9843473,0.026845563,1.4116819,-0.29380363,-0.21255206,-0.17307186,-0.31704533,-0.9891161,0.6460209,0.121391766,0.8819639,1.2403699,0.79473716,0.69668466,0.11798277,-0.3577337,0.7237566,-0.8654352,-0.2171641,-1.5175534,1.8001335,-0.74751973,1.112034,-0.02546269,0.35320833,0.29108724,-0.02106278,0.42652446,-0.3678287,0.76919085,-0.8771522,-1.4063271,-0.3665416,0.1531498,0.9686569,-0.6262494,-0.6760365,1.8220303,-0.38610792,-0.9467855,-0.44249418,0.4989797,0.06596403,-1.36569,-0.92378795,-1.6413654,0.5644279,-1.1592402,-0.113166936,-0.17165685,-1.1739063,0.61531997,0.64071167,0.10418514,-1.3902086,0.30051866,0.46744367,-0.68891984,0.4782512,-0.59244394,0.08643424,-0.43052697,0.9973098,-0.53172266,0.8421192,0.69958365,-0.8791651,1.8147973,-0.252738,-0.89654344,1.2646375,-0.4942298,-0.559116,0.3328224,-1.1769197,1.2261153
KNS-60,-1.8120732,-0.567066,-0.37386447,1.7369173,-0.3378582,-3.3364892,-3.3686626,2.9449582,-1.5321606,-0.6054901,-1.6001441,-0.5018391,0.38969433,-2.562459,-0.7503964,-1.4660659,0.66805774,-1.6727157,0.5571438,0.6716118,1.0326917,-0.32264656,-0.08156984,-1.4304097,-0.15297715,2.8029613,1.3892634,0.26519984,-1.9453183,-1.1966096,0.15123418,-1.8646007,2.2996566,-1.5901326,0.29317224,0.25596306,0.17696951,0.24423845,0.6985472,-0.33509707,-2.6270132,1.5569342,1.872276,-0.040796153,1.0809903,1.7475519,2.3128486,1.4580984,1.4643509,-1.7343066,2.730739,1.6175315,3.134788,3.6748776,-0.6402734,-0.68220896,2.1962278,1.2889776,-0.1057298,1.0405753,0.2534711,-0.25342184,0.20265214,0.84873784,-1.0019252,-1.6110365,0.61358756,-0.44461685,1.5080022,3.354738,2.2298188,0.7035639,1.0572377,1.8956693,0.23788044,1.2839499,-0.001955092,-1.1379321,0.5875907,0.7287146,-2.0016222,0.9426253,0.40872484,-2.2395704,0.9987127,-0.6506047,1.1473013,0.5459181,0.47439805,0.86837995,-1.8035806,-1.3571472,-4.077491,3.3510742,-0.6309296,2.8381228,-1.2772613,-2.4598832,-1.3003911,0.37165463,1.6976043,-0.29961595,-3.2701187
NCI-H1048,-0.69100285,1.4219143,0.50268614,-1.0172657,-1.0726329,-0.995633,1.5169656,0.97931707,0.27398354,2.2254736,-0.3363581,-0.31486,1.5436908,0.31668678,0.851412,-0.20368229,-0.37424278,4.39407,-1.091639,0.703279,0.10801026,-0.9588605,0.04978227,-1.203129,1.3252301,-0.37509894,0.062274426,1.6090889,-0.002326726,0.10732043,-0.17348726,-0.79889244,0.1579612,0.35116002,-1.1632373,0.4188282,-0.101566054,1.1788917,-1.9914938,-1.3920791,-1.4259992,1.7863766,0.2241745,-0.46867454,1.4224966,0.74904215,-0.30900702,1.5955975,-1.6747812,-1.3461595,0.3352917,0.41252705,-0.09788568,-1.4852054,1.8410878,-0.60727614,-0.43196803,-1.0951723,-0.6445207,0.95094466,0.03808081,1.9813713,-0.7553863,-0.30047604,2.1377592,-0.25139916,-0.8060377,-0.023693059,-0.45891684,0.097967036,-1.1737432,1.4305071,0.11062241,-0.6996088,0.04159807,0.7310296,1.3236698,1.2724117,0.4468213,-0.25121424,0.7485306,-0.6849559,0.628067,-0.1021869,-0.8963795,0.7348971,-0.29555142,-1.1808954,1.098438,-1.4185114,0.19862801,0.7706102,1.2441252,-1.0709088,3.0876215,-0.41690725,-1.4997051,0.5034558,-0.59882087,-0.5725527,-1.1884373,-1.6766186,0.5667934
TE-10,1.0958195,0.56949186,0.87368476,-0.1251334,-0.5936131,0.61571014,-1.6569031,-0.0043470403,0.9303786,0.17601535,-1.3362881,-1.0004636,0.55420786,-0.7362241,1.7167723,-0.631772,-0.44753033,-0.8949033,-1.0148964,0.45504737,-1.2501935,-0.23373312,-0.44339082,-0.26071084,0.95659786,0.03392836,0.057418287,1.5495818,-0.7844274,-1.7528727,0.23278883,0.63170886,-1.6962063,-0.9160363,-1.2510641,0.8937766,0.48013955,-0.08091742,-0.33007795,0.7346026,0.70278174,-0.5794876,0.7820114,0.39375648,-1.0148591,-0.17655474,-0.5022434,-1.2489595,0.8201483,0.7320715,-1.7384762,-0.26048714,0.17546773,-1.9302377,1.414854,0.12210564,-0.0011682668,-0.39140385,-1.1978513,0.5885057,-1.331146,-0.1417239,0.030144485,1.4695365,-1.3994514,-2.9756289,-1.4151877,-0.72623354,-2.0049808,-0.6984266,0.5856314,-0.29390407,0.06827611,-0.5204335,-1.7612158,-0.05394139,-2.194498,-0.80054015,0.113526985,-1.3205346,-0.24490392,-1.1327192,-0.2112298,0.85603315,-0.5039456,-1.166826,-0.06730038,-0.111381754,1.3546344,-0.18399319,-0.19442731,-0.49980062,0.5397609,-1.1983182,-2.1098557,0.22767082,1.9225277,0.8829712,0.5913234,-0.034196023,-1.3629072,-0.54751956,0.8654479
EC-GI-10,0.6587826,-0.42837197,1.3846952,1.6825328,-1.1678886,-3.3060968,-1.1012142,0.1301186,0.10703908,-0.075210504,-0.038196325,-0.86333007,2.0014873,-0.11720896,-0.56972605,1.0331428,0.44278222,-3.3441124,0.9595873,-0.8552269,-0.39949143,0.06427989,0.3289999,-0.6544146,-2.533337,0.73833424,0.57177556,-0.3532797,-0.91054285,0.21961787,-0.6393084,0.9730234,0.2314269,-0.9775756,1.4093741,-2.6049478,-0.7769809,0.18168873,0.12892409,0.1572567,-0.01568332,0.86983514,1.2932312,-1.6358066,1.4376597,0.09663968,2.3412592,-2.133958,0.79730594,-2.2143526,2.6482897,0.6723953,-0.63177073,0.15643546,-1.1275204,-1.232741,0.95676523,0.9874068,-2.2635293,0.37110126,-0.07698042,-1.5011225,1.7210528,-1.4749905,-1.6713604,0.560816,-0.13673809,0.6340766,0.54767203,1.3379624,0.92142034,0.16354506,1.0723366,1.2069314,0.18710597,-0.042252526,1.6617519,-1.0156081,-0.2592645,1.1073219,-0.183938,1.288578,-1.4881519,-0.5775152,0.21841624,-0.6762314,0.5803354,0.5524982,0.58429635,-0.1807065,0.43532753,0.119907476,-0.8738171,1.2978346,0.20360616,0.62986946,-0.5123856,-0.08040992,-2.2358868,1.6853452,0.46188423,-0.43503258,1.0772789
TE-14,-0.73075026,-0.60565865,0.7268359,-0.8473127,0.2679475,-0.43576068,-1.0095675,-0.6134937,1.1363391,0.05907409,1.0331781,0.19981796,0.15551397,1.3277949,-0.47560453,0.77699023,0.82446927,-1.3381345,0.250794,0.77079076,0.03997683,0.17399049,-0.595919,0.21598606,-0.2598444,0.8076323,-0.36977595,-1.0067451,-0.1438439,0.30558068,0.04521594,0.37679246,-0.7766791,0.3807859,-0.28816083,-1.0647547,0.45473927,-0.17529745,-0.5895762,0.5552467,0.15479785,-0.33542433,0.16001813,-0.058577307,0.123031415,-0.6668406,-0.3457746,-0.43004698,-0.27846116,-1.0299077,0.7628526,0.027725302,-0.76058435,0.50234354,-0.67867064,0.26772994,-0.02510107,-0.0183006,-0.7231571,-0.8947308,-0.02715609,-0.68591815,-0.34480652,-1.0838755,-0.44958663,1.0439808,-0.7637382,0.027966343,-0.24603926,0.9236221,0.16148627,-0.89251614,0.14639437,-0.20261095,0.1577445,-0.23897806,1.5931659,-0.94555926,-0.7719175,0.42967856,-0.07967578,1.4585487,-0.100812174,0.5219991,-1.0141155,-1.2330034,-0.015132436,0.804399,1.044815,-0.013459526,0.19289649,0.6156982,-0.6066848,-0.039170668,0.93687993,-0.636425,0.56911814,0.51802874,0.14308551,0.8634486,0.90694636,1.3211236,-0.36075366
CCF-STTG1,-0.10590689,1.7832265,1.2752287,0.6996295,-0.27059615,0.34523317,-1.5185376,0.4586458,-0.32075167,0.12807213,-0.080944225,0.14158458,1.2109038,0.5968722,0.64046854,0.52000874,0.48361552,-0.43822616,0.5735455,1.6919799,-0.9725143,-0.87547827,0.2023682,0.16480075,0.14901213,-0.7815589,1.3778143,-0.5123567,1.0337689,-0.2470287,-0.62950754,-0.98273355,-0.68663037,-2.2010946,-0.9859724,0.77466404,1.5256841,-0.68883,0.14946005,0.29713905,0.44651827,0.36401492,0.16547164,-0.46407115,0.45132115,-0.49966598,-0.98707265,-0.2056837,1.08639,0.21562941,-0.55130875,0.22945485,0.09220505,-0.8775264,1.1488131,1.5443857,-0.57894087,0.10407077,-0.72111565,-1.5208443,-1.7456976,0.17466071,0.06153637,0.2822933,-0.67421716,-0.43945444,-1.8213087,-0.7654622,-0.019655533,-0.23621206,-1.2416613,-0.8301071,-1.0734123,0.15614463,-1.069063,0.609304,-0.09459275,-0.6119062,-0.5815683,-0.3967124,-0.768186,-1.1621672,-0.36325383,0.53407377,0.45265198,-0.74760854,0.8012169,0.83646744,-0.5698107,0.47736466,0.17574733,-0.6306033,0.46335968,-0.49510154,-1.0822855,-0.48824447,1.4012673,0.8395888,0.8947467,-0.2658156,-0.25747326,-1.7702379,1.296833
Hep-G2,-1.5578146,0.77514315,-1.8942479,0.65428305,-1.0331132,-0.28308523,-0.33518767,0.48670936,1.0782903,0.9831419,-0.30948377,0.14458545,0.4276062,0.8000297,1.2835444,-1.1883023,0.35280877,2.4485407,-0.16023213,1.2922913,-0.03714679,-1.6257277,-0.7483308,-0.93360466,1.63067,-0.71259433,-0.296694,0.025378196,-0.12021737,2.5971854,-0.6279857,-1.2325767,1.6503941,-0.4405969,-1.0743055,1.6258929,-0.2513132,1.5343603,0.46075025,0.8850875,0.98186576,-0.7170041,-0.1785679,0.4984543,-0.124246836,-0.07941446,-1.1326274,0.93776,0.36976984,0.4797394,1.140034,1.4615737,-0.5999633,-1.4394127,0.4539543,-1.1700168,-1.2589326,-0.0042349063,0.39908,0.28714174,-1.6759505,0.8414724,0.6341198,-0.57873696,1.9866693,-1.5854177,-0.4731779,-0.90984523,0.8394193,-0.27753225,-1.1040835,0.61216927,-2.6668913,0.86775625,-1.1916637,-0.27666062,0.777786,0.15095171,-0.077932924,0.21474957,1.1442835,-0.30987233,-0.022306964,0.9214221,-0.7982228,0.44732553,-0.21575485,-0.012907967,-0.3086794,-0.65903693,0.11608372,0.5737554,1.4142689,0.21324447,2.0614817,-0.0410178,-1.4188703,1.4002272,-0.83869153,-0.60112053,-0.89328253,-1.4522537,-0.22236274
