,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123
SNU-626,-0.07804307,0.70379364,-0.39411467,0.2404636,0.24151286,0.39841452,-0.1527251,0.005630308,0.8013511,0.9097448,-0.6069785,-0.3023813,-0.27985406,0.017141126,-0.9351438,-0.26722595,-0.27307564,0.23711248,0.3243197,0.06356223,0.58887255,0.6150527,0.7861663,0.0196946,0.6384659,-0.538389,-0.18733603,0.14485446,-0.66944605,-0.24665482,0.23604642,-0.42856523,-0.9157674,0.64412194,-0.6814788,0.13626549,-1.0743748,0.08365621,0.5064267,-0.25158006,-0.49329713,0.3607373,0.40703103,-0.97650963,0.20989926,-0.6682012,-0.10812643,0.25034952,0.751533,0.18147667,0.4708948,-0.020450003,-0.5184071,0.03528889,0.6012972,0.07462871,0.5613562,-0.47629863,0.60837257,-0.59463733,-0.665233,-0.9453848,-0.2960571,0.30076128,-0.0059646107,0.4125761,0.11144951,0.0750902,-0.44899368,-0.61838347,-0.8116553,0.013734344,-0.032509334,0.08432695,0.5688975,-0.3075083,-0.6638143,-0.58278674,-0.18614928,-0.18639533,-0.031184008,0.27160907,-0.5961976,-0.5289255,0.63822454,0.013404604,-0.5291192,0.3981083,0.46646026,-0.23750249,-1.0791936,0.5094993,-0.5716158,0.18320039,-0.0028829444,0.25358292,0.9727101,0.5717789,1.180972,0.007859841,-0.15813883,-0.8642038,0.15044221,-0.30298647,-0.3809394,-0.7635344,-0.43634248,-0.5182816,-0.35956874,0.6879819,-0.32722238,-0.15715472,0.33595362,0.17227082,-0.0633551,0.21429144,-0.12352611,-0.3313567,0.46605223,-0.62168735,-0.43781322,0.7541462,0.42712402,-0.64550894
AsPC-1,0.3186915,0.563736,-0.070460424,-2.199131,0.7602706,-0.11934497,0.086384445,-0.2536076,-0.07217139,-0.42795777,0.07052424,-0.61208403,-0.186748,-0.39851147,0.10361755,-0.6809163,-0.5335908,-0.101173505,0.6260292,-0.78106046,0.18923235,-0.03745459,0.98531353,0.62081736,-0.14732948,-0.25890154,0.2660835,0.7713644,0.09132486,0.62139595,0.04820275,-0.19438984,-0.48099232,0.62623537,-0.7057419,-1.1629972,0.22752516,-0.11111021,0.16120139,0.43385118,0.40178308,-0.48837748,-0.4529464,0.5601097,0.1337666,0.27308372,0.33383405,-0.10415247,0.83862376,-0.7085887,-0.0013159623,0.79810584,-0.53323674,0.14036399,-0.25822622,-0.54188955,0.31081268,0.41302055,-0.087613896,0.380799,-1.4420294,0.0155490525,-0.34570396,-0.6001579,0.39196986,0.38957512,0.20654474,-0.22284368,0.10202637,-0.10548855,-0.4204447,-0.5269567,0.42183214,-0.32187903,-0.48657772,-0.37524417,-0.29339254,-0.907998,-0.020926842,0.12923406,0.55428433,-0.4527481,0.6951979,0.20274253,-0.37960365,-1.2236493,-0.32864368,0.18917128,-0.85149056,-0.39912462,0.045223985,-0.41195017,0.37001097,1.1210169,-0.2392066,-0.010797767,-0.10632461,-0.6337928,0.08106679,0.0034772642,-0.0036041748,-0.25377452,0.3528432,-0.10024014,0.09947272,-0.5288808,-0.20202973,0.122584626,-0.4588193,0.25819382,0.34507883,-1.2950506,0.22983715,0.5177818,-0.58483064,0.035609696,-0.61511016,-0.14966665,-0.3789839,0.9390513,0.7063264,-0.84627575,0.2033128,-0.34021777
5637,0.061343957,1.022832,-0.0838931,-0.8363839,-0.28431448,0.20808941,0.16120102,-0.20134903,-0.24441643,-0.23580597,0.009611767,0.2784702,-1.0460905,0.21570823,0.42581022,-0.56529063,-0.49627942,-0.22777973,-0.41421634,-0.64438385,0.25400352,-0.58627194,0.58541095,0.3364396,-0.44695538,0.12714846,0.108651936,0.34112358,0.7041011,0.5903548,0.5087162,0.15161166,-1.0443722,0.3421206,-0.39885676,-1.0622673,0.43968832,-0.15540935,-0.0004341351,0.59158415,0.72768295,-0.7404238,-0.27171257,1.0164143,0.37092268,0.6398515,0.48750496,-0.36515605,1.1629484,-0.18641466,-0.14401889,0.2320096,-0.5161271,-0.59062207,-0.2872399,0.25013617,-0.12574066,-0.05218587,-0.11796464,0.22723213,-0.834223,-0.45504078,0.288225,-0.38028702,-0.06909749,0.4399219,-0.4670392,0.32209253,-0.10685812,-0.49947655,-0.020716403,-0.7294284,0.41705668,0.0732428,-0.88937074,-0.39843115,0.5343339,-0.5982665,0.28711694,0.009232625,0.18078673,-0.8646352,1.3422376,0.3530736,-0.28647667,-1.1305083,0.09794061,1.0777016,-0.98158026,-0.016949367,0.95907027,-0.78141284,1.2209901,0.8540272,-0.76690537,0.028731422,-0.2140111,-0.73545784,-0.16668475,0.3412726,0.31238756,0.06358868,-0.26710007,0.19027379,0.062357426,-0.34806642,0.45835745,0.6649445,0.43599105,-0.4485305,-0.23945844,-0.27963448,0.67561424,-0.017746134,-0.0834087,-0.06959157,-0.6487586,-0.38465497,-0.98464125,0.8578124,0.70227003,-0.5047542,0.22538467,-0.13862038
G-402,0.055818852,-0.042154394,0.042188235,0.5255541,0.3840085,0.12172409,0.038762435,0.36325404,0.04248622,0.1581808,-0.6934149,-0.41059035,0.36829048,-0.25563887,-0.23813443,-0.100186035,0.050639234,0.06615682,-0.09765992,0.18556666,0.179598,0.38855386,0.10546294,0.16890691,0.15344241,-0.15817101,0.20612736,-0.15699515,-0.2924574,0.12748086,0.6192723,-0.18497853,-0.36365908,0.0022631679,-0.1923702,0.34669793,-0.5254921,-0.1982362,0.4700842,-0.18869986,-0.20022523,0.36098632,0.08391988,-0.68488264,-0.2890409,-0.13209534,-0.4124448,-0.4518236,0.33269796,0.2247804,0.38412458,0.17238915,0.04790709,0.001376152,0.27229625,0.089970715,0.049380586,0.14839678,0.013514785,-0.38231966,0.10970964,-0.35806468,-0.10640589,-0.18633938,-0.16607015,0.080957904,0.28123802,-0.33777153,-0.026030172,0.17234445,-0.18929993,0.4268653,-0.17344478,0.29214817,0.42288217,-0.24799952,-0.5806003,-0.3459049,-0.008466044,-0.03669386,-0.0695056,0.49061552,-0.5077728,0.019389715,0.37121925,-0.23562971,-0.08825128,-0.0013929382,0.16183299,-0.13515297,-0.010005698,0.037236877,-0.45378166,-0.1035158,-0.049733296,-0.053086244,0.07002152,0.32030737,0.68672407,-0.20527269,-0.32393983,-0.53901774,-0.32102197,-0.23689677,-0.34313986,-0.3165266,0.020255767,-0.5095402,-0.58253616,-0.20879035,0.2375139,-0.4178749,0.23505709,0.24275222,-0.20576516,-0.033365164,0.11606108,0.24914725,0.5137286,-0.40314323,-0.061385535,0.2703364,-0.08482799,-0.03369832
HCC827 GR5,0.039556853,0.994902,-0.2974479,-1.2723114,-0.018586643,-0.1749006,-0.16222231,-0.084402606,-0.074746475,-0.2518251,0.1090863,-0.11709142,-0.8815742,-0.25401306,0.25725505,-0.2064885,-0.3697873,-0.15683635,0.48324344,-1.0843856,0.12660725,-1.0691528,0.8440368,0.014108185,-0.14024241,0.68060285,-0.2335902,0.35825723,0.76235247,0.38418752,0.13043386,-0.1363656,-1.2123988,0.43128747,-0.51624423,-0.7311433,0.79712063,0.06782559,-0.35163537,0.8693065,1.5438895,-1.0974439,-0.34148514,1.2077945,0.6564465,0.12182399,0.66466254,0.80515456,1.4382666,-0.12735654,0.21369834,-0.41530436,-1.1899339,-0.7419157,-0.054880444,0.022287853,-0.1298773,0.029427502,0.11758296,0.44229928,-1.3314391,-0.3250817,-0.21082029,-0.7973388,0.12949036,0.53456163,-0.4647161,0.13858168,-0.36635083,-0.4904408,-0.5220744,-1.3396516,0.86137766,-0.34161723,-0.5079353,-0.4622922,0.3528214,-0.97927415,0.07114492,0.12788272,0.1649124,-1.6502007,1.4504899,0.37342498,-0.70893025,-1.1986284,0.2128125,1.2772052,-1.0461699,0.2504007,0.6335562,-0.8418372,1.2121158,0.90655106,-0.46584392,0.3368811,-0.5736552,-0.3846584,-0.48404014,0.54688627,0.6646306,-0.099530876,-0.08644694,-0.22895859,0.25408456,-0.052826785,-0.04865896,0.5639224,0.28023046,0.0049346555,-0.53272897,-0.52163184,0.58510417,-0.20616858,-0.19455943,-0.17605467,-1.067427,-0.44192046,-0.980364,1.2147251,0.5926729,-0.455391,1.0158759,-0.3969909
DMS 53,0.52472925,0.23558994,0.19400191,-0.64132124,-0.0851998,-0.18017799,-0.6136933,-0.18109766,1.0423632,0.62733895,0.17551255,0.30589485,-1.0831121,0.27991807,-0.8386221,0.36970317,0.2501698,-0.1343204,0.32962683,-0.26319736,0.52972555,0.032440096,1.0495114,-0.8100588,0.9270742,1.4480312,0.15492663,-0.36715442,0.06924338,-0.29948848,-1.181719,-0.20934814,-0.63225234,0.6128099,-0.17238761,1.1647208,-0.87816286,0.5507257,-0.15747727,0.13323838,1.0784718,0.03530288,0.10422346,0.24141145,0.53647226,-0.46184063,-0.10742164,1.2133371,1.2105882,0.3573903,0.40127406,0.22343497,-1.6295807,-0.40866598,0.5556841,-0.06398054,1.0517685,-0.92112505,0.58000714,1.0239737,-0.43671912,-0.065831155,0.13728067,0.27474323,-0.30079028,-0.03563992,0.05483534,0.4462523,-1.1211758,0.17947303,0.24616373,-1.7300158,1.1693499,-0.99330044,0.39255953,-0.08362267,0.5036861,-1.4948747,-0.32191545,-0.37453538,-0.29723155,0.35026273,0.94824433,-0.104576066,0.19321224,0.75136214,0.11884363,0.9740318,0.115778275,0.28055283,-0.012883481,-0.53883606,0.3068655,-0.046248578,0.23380916,-0.072935805,-0.25555915,0.27391773,0.439457,0.39973742,0.32831928,0.5714131,0.37576324,-0.7871953,-0.94763434,-0.95533204,-0.72403896,-0.081978396,0.04568454,0.6968473,-0.4463818,-0.2282333,0.25836232,0.7834761,0.09768338,0.19308728,-1.0537473,-1.0200653,-0.20774344,-0.22485563,-0.4942933,0.4977253,0.93172884,-0.8955883
LoVo,0.14330462,0.7020914,-0.26545796,-1.1842123,0.17852801,-0.11591222,-0.28353378,-0.19604878,0.2699,0.23984484,0.228421,0.38560665,-0.8509363,0.14787903,-0.1226909,-0.31864414,0.032377094,-0.4879189,0.41322547,-0.7718343,0.8887342,-0.3384328,0.48058942,0.051095325,0.3016758,0.8468184,0.40101153,0.25765324,0.2792395,-0.059979577,-0.28255007,0.24978435,-0.4957369,0.8515614,-0.39878643,-0.47199,0.10934173,-0.021832703,-0.14969121,0.5298782,0.9613898,-0.61641765,-0.06680006,0.8479838,0.38272578,-0.28769228,0.32323766,0.85408777,1.3937777,0.023794051,0.15762973,0.26074845,-0.9732391,-0.5066542,-0.1792126,-0.5104147,0.004337933,-0.044062424,0.28440475,1.2904837,-0.9169128,-0.06940541,-0.43380708,-0.16973078,0.0504131,-0.06520368,-0.24793221,0.4186202,-0.6776367,0.06232907,-0.3314997,-0.8751599,0.71489924,-0.4957549,0.25229347,-0.46090403,0.23180455,-1.021368,-0.15200266,-0.10452069,-0.024306962,-0.79142374,1.2363056,0.13602436,-0.6819261,-0.33700883,0.13299517,1.1206639,-1.080918,-0.036921933,0.4457972,-0.5359,0.90904224,0.75727093,-0.13706362,0.4486484,-0.3550298,-0.05284386,-0.3238558,0.57136637,0.19631766,0.718638,0.21997032,-0.27934495,-0.19198634,-0.444214,-0.48429886,0.33374846,0.21252888,0.62126935,-0.20090643,-0.5586003,0.21378978,0.14053027,-0.26642248,-0.06289637,-1.0041491,-0.6675385,-0.7825179,1.299786,0.3340203,-0.20339735,0.72237337,-0.62054735
Karpas-299,1.3839647,-0.68581396,0.9101499,1.4087324,-0.06667189,0.299494,0.069968805,0.9221046,-0.093183145,-0.5576264,-0.49417064,-0.4767391,0.5753674,-0.23922703,1.1076318,0.038231168,1.3849717,0.65652573,-0.53809714,0.36175445,0.16276063,-0.5073421,0.06858091,-0.37928233,-0.044968084,0.079705395,0.49121308,-0.15180133,-1.0160158,1.3084257,-0.12072936,-1.0201881,0.2241651,-0.043040052,-0.49975508,1.8136525,-0.26718068,0.5093589,-0.37166458,-0.38101554,-0.90704083,0.6268152,-0.14572799,-1.2766575,-1.3356723,0.6628473,0.23422943,-1.225765,-1.6635282,-0.31887123,-0.5956784,0.76233715,0.20106763,1.0425116,0.13971901,0.60817844,0.08037159,0.6058106,0.071221516,-0.166096,0.17154633,-0.06508443,0.47404754,-0.6549808,0.24641226,-0.14673512,-0.23799537,0.63803,0.7262148,0.90087515,2.3924687,1.3609513,-0.6692677,-0.12262374,0.556034,-0.26794687,-0.14836931,0.19061217,0.7387596,0.3028695,0.3950497,1.907184,-1.9913167,1.0221573,0.26542658,-0.41227317,0.18572523,-1.3169582,1.6027629,0.82405686,1.2331344,-0.21170996,-0.4157436,-0.8204363,-0.20090954,-0.44661602,-0.7545122,0.001396142,1.006411,-0.51497304,-0.011361652,-0.16075741,-0.80921656,0.3052274,0.48216027,-1.2554783,-0.42883715,-0.6901803,0.18652338,-1.7063584,0.19008417,-0.6342047,-0.42221376,0.2573435,0.07386763,-0.19181998,0.5891532,0.36391935,0.82293123,-1.1326671,0.038695637,-0.19114338,-0.9534814,0.36706305
OS-RC-2,-0.033304635,0.66321427,-0.37449023,-0.22588065,0.18267414,0.48488176,0.20109373,0.15512161,0.20358671,0.49962923,-0.7433428,-0.0933997,0.3314409,0.20916295,-0.43462732,-0.30830917,0.40620038,0.1615246,0.14107487,0.0658796,0.31012762,0.8347347,0.6967152,0.36072344,0.020160355,-0.794272,-0.012417663,0.02530387,-0.23926759,0.58296585,0.5021182,-0.099029064,-0.8546722,0.6804513,-0.35369033,-0.31511265,-0.7319859,-0.010187013,0.5944346,-0.4874535,-0.49673906,0.38767034,0.32485408,-0.545757,-0.26293758,-0.30145577,-0.096211,-0.27994102,0.8915192,-0.11137605,0.24388154,0.30757785,-0.24740615,-0.11982134,0.119199045,-0.23656052,0.60687953,0.059350893,0.21985845,-0.6118907,-1.1548822,-0.46685976,0.10180496,-0.48009694,0.06447151,0.45838705,-0.13204847,-0.5927599,0.17480017,-0.5285255,-1.0177209,-0.31843725,0.043645315,0.20419396,0.3781234,-0.2771553,-1.1606896,-0.40538502,0.10698507,0.30152836,0.084059484,0.29198524,-0.76994056,-0.0713536,0.36320958,-0.287398,-0.31104878,0.25154692,0.52509546,-0.81388444,-0.45007846,0.8599018,-0.8443109,0.58829445,0.038025267,0.13723613,1.1223321,-0.15030855,0.7502948,-0.22742811,-0.17735003,-1.0206195,0.19214576,-0.3444319,-0.6207818,-0.07873486,-0.05507545,-0.4058047,-0.6871237,0.13567057,0.07610965,-0.57032484,0.31473628,0.4818911,-0.21839395,0.21375458,-0.090724275,0.029156853,0.69236773,-0.4815038,-0.36130458,0.33522114,0.25074974,-0.31275976
RERF-LC-A1,0.0018449277,0.22860323,0.07989446,-0.1515241,0.32976738,0.0663723,0.20850861,-0.009407769,0.04266786,0.026104871,-0.24016404,-0.05300011,0.062997684,0.27265954,0.05198809,-0.2075307,0.11013273,-0.1964416,-0.10423685,-0.015933394,0.3874004,0.24894771,0.20875607,0.08450976,-0.08085063,-0.32467714,0.22013281,0.028375145,-0.059042826,0.20267881,0.4233829,-0.0577717,-0.34876502,0.13215563,-0.31655118,-0.33306938,-0.102920875,-0.05108387,0.3409185,-0.19365837,-0.25462016,0.14916484,-0.10174298,-0.17091663,-0.123627335,-0.1121551,-0.023019698,-0.32596755,0.6220685,-0.2414296,-0.16151386,0.18174525,0.10438401,-0.08058417,0.048299283,-0.114704914,0.23223118,0.31213325,-0.05138135,-0.32053372,-0.29783618,-0.23310116,0.07973971,-0.23897058,0.15151247,0.1005803,0.09650397,-0.02925818,0.0926445,-0.30359077,-0.35039988,-0.054934647,-0.14700459,0.23707859,-0.016194798,-0.10656042,-0.26071352,-0.17564683,-0.082707696,0.07845007,-0.1611155,0.016606413,-0.20238058,0.04553253,0.105646215,-0.28522098,-0.0026498847,-0.0010446906,-0.098963395,-0.38381976,-0.005355958,0.012811668,-0.06776236,0.15854931,-0.041416213,-0.12765631,0.4475787,-0.12331686,0.3307557,-0.25606456,-0.022992464,-0.24712604,-0.17049985,-0.08838418,0.024556248,-0.109108575,0.046030663,-0.14174725,-0.34223643,-0.07401414,0.1481085,-0.2033893,0.22475992,0.3603803,0.07078629,-0.07334373,-0.036998846,0.13167918,0.29639402,-0.21603104,-0.10475585,-0.004933345,-0.11009349,-0.09970028
