feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1CF,0.0,0.7507956694974248,True,0.005117907106312433,True
A2M,0.0,2.4705045816430578,True,0.04296281542517192,False
A2M-AS1,,,,0.09087305776926952,False
A4GALT,0.0,0.11285058754178492,False,,
A4GNT,0.0,0.027380002006847953,False,,
AAAS,0.0,0.2568226031216448,False,,
AACS,0.0,0.6493180914498895,True,0.06871911287947977,False
AACSP1,,,,0.11257002664980728,False
AADAC,0.0,0.5009152319981586,True,0.05452048306664336,False
AADACP1,,,,0.06823034984890772,False
AADAT,,,,0.0699375842298065,False
AAGAB,0.0,0.14581537996735777,False,,
AAK1,0.0,0.05012612279752732,False,,
AAMDC,0.0,0.3765882636005902,False,0.07845259590795702,False
AAMP,0.0,0.25182138692296413,False,,
AANAT,0.0,0.05457020650915999,False,,
AAR2,0.0,0.2450439815987984,False,,
AARS1,0.0,0.6422566951265695,True,0.0828685474225294,False
AARS2,,,,0.07440393296263252,False
AASDHPPT,0.0,0.45533915383442536,True,,
AASS,0.0,0.3774777603735969,False,0.05713673793803375,False
AATF,0.0,0.299535981033834,False,,
AATK,0.0,0.1796825020482131,False,,
ABAT,0.0,1.1286420660554057,True,0.06442545709206787,False
ABCA1,0.0,1.4962653159124981,True,0.06482181321827134,False
ABCA11P,0.0,0.24745351030917917,False,0.10455093661499572,False
ABCA12,0.0,0.3116672963878397,False,0.05356671275193447,False
ABCA13,,,,0.06316517743794879,False
ABCA17P,,,,0.1019167260692686,False
ABCA2,0.0,0.11745013343474875,False,,
ABCA3,0.0,1.0818125046584748,True,0.029057520803539495,False
ABCA4,0.0,0.277260503765033,False,,
ABCA5,0.0,0.7663931491758981,True,0.06227323194944576,False
ABCA6,0.0,0.08148724568939503,False,0.05235338517947904,False
ABCA7,0.0,0.2861632690045332,False,0.055123889748592746,False
ABCA8,0.0,0.8600155422709612,True,0.06474502221217748,False
ABCB1,0.0,1.6325294015311735,True,0.05601655061386473,False
ABCB10,,,,0.06817404923360647,False
ABCB11,0.0,0.01475845182081039,False,,
ABCB4,0.0,0.5972437983312137,True,0.04052048608296081,False
ABCB7,0.0,0.4781007216100158,True,0.0649889815198213,False
ABCB8,0.0,0.07281075794946978,False,,
ABCB9,0.0,0.11827669529664099,False,,
ABCC1,0.0,0.6100520577041445,True,0.07369481344133266,False
ABCC10,0.0,0.6050571898731203,True,0.077030418573527,False
ABCC2,0.0,1.4107015295076855,True,0.04579219744156004,False
ABCC3,0.0,3.544670237079952,True,0.0026654178757364714,True
ABCC4,0.0,1.393223931323852,True,0.06210162739999674,False
ABCC5,0.0,0.8025514113993574,True,0.06889015359597783,False
ABCC6,0.0,0.09020468154282327,False,,
ABCC8,0.0,0.4753686709668903,True,0.042351277692955276,False
ABCC9,0.0,0.030695866755076566,False,,
ABCD1,0.0,0.2014413643352425,False,,
ABCD1P2,0.0,0.021224364771842044,False,,
ABCD2,0.0,0.03801617069218769,False,0.03727533384125431,False
ABCD3,0.0,0.3813738157700758,False,0.07784544469655692,False
ABCD4,0.0,0.05826450663842657,False,,
ABCE1,0.0,0.3348416966370047,False,,
ABCF1,0.0,0.25297800950819677,False,,
ABCF2,0.0,0.199041871042844,False,,
ABCG1,0.0,0.5492619443366739,True,0.043799655876305146,False
ABCG2,0.0,1.8832002460111013,True,0.0625295280250037,False
ABCG4,0.0,0.043022052336804964,False,,
ABCG5,0.0,0.10480257707896,False,,
ABHD10,0.0,0.599939112553692,True,0.09004747450374913,False
ABHD11,0.0,1.580586716414034,True,0.05078966169058397,False
ABHD12,,,,0.06779445732877049,False
ABHD12B,,,,0.11646133289052715,False
ABHD13,,,,0.08351485167726697,False
ABHD15,,,,0.0760792349162584,False
ABHD17B,0.0,0.3729253573429446,False,0.03967644578102419,False
ABHD17C,,,,0.01697301972814723,True
ABHD18,0.0,0.4477305351472016,True,0.02099230793771843,True
ABHD2,0.0,0.7435799566718904,True,0.028606801033854875,False
ABHD3,0.0,1.0126415010973804,True,0.04822291261105135,False
ABHD4,0.0,0.8510729974743205,True,0.04764115177917956,False
ABHD5,0.0,0.6547781469107328,True,0.06716826893710534,False
ABHD6,0.0,0.946392824377548,True,0.04624343013689932,False
ABHD8,0.0,0.17092238470743704,False,0.10191747650774605,False
ABI1,0.0,0.6833924095342637,True,0.06399747634881353,False
ABI2,0.0,0.3726990635669666,False,,
ABI3BP,0.0,0.46867470758190277,True,0.05816183747964278,False
ABITRAM,0.0,0.6002451749356585,True,0.07997855889764106,False
ABL1,0.0,0.6565114468522212,True,0.06701739853436019,False
ABL2,0.0,0.13882690845096438,False,0.0290973732995639,False
ABLIM1,0.0,2.5548366180007966,True,0.029151623661643748,False
ABLIM3,0.0,1.8175177596494623,True,0.016905555762078122,True
ABO,0.0,0.06485707716420741,False,,
ABR,0.0,0.34087797914066686,False,0.06030564564609298,False
ABRACL,,,,0.05350516972944627,False
ABRAXAS1,,,,0.050293313357294846,False
ABRAXAS2,0.0,0.19468461113839924,False,,
ABT1,0.0,0.3419016963148874,False,0.06795582637538437,False
ABTB2,0.0,0.48913332398299975,True,,
ACAA1,0.0,0.553224588827638,True,0.06023075697358804,False
ACAA2,0.0,2.19336593588755,True,0.04825713798604691,False
ACACA,0.0,0.2669946414376883,False,,
ACACB,0.0,0.3481979544951138,False,,
ACAD8,0.0,0.49245245392877235,True,0.08464923663386412,False
ACADL,0.0,0.05950919812063875,False,,
ACADM,0.0,0.6681468088433942,True,0.06248455957555769,False
ACADS,0.0,0.2114793932085685,False,,
ACADSB,0.0,0.3043430414748962,False,0.07170717765905711,False
ACADVL,0.0,0.6746055503183672,True,0.08997725341263399,False
ACAN,0.0,0.21535866929149258,False,0.06223121616580796,False
ACAP1,0.0,0.3810060238145848,False,-0.014536210960778105,True
ACAP2,0.0,0.5008381702802431,True,,
ACAT1,0.0,0.94928670029055,True,,
ACAT2,0.0,1.110057213743567,True,0.08835338183781569,False
ACBD3,0.0,0.2854098173935325,False,,
ACBD4,0.0,0.16505005787930538,False,,
ACBD5,,,,0.06917387337032041,False
ACCS,,,,0.1049885054104775,False
ACD,0.0,0.6105402687664068,True,0.07764012960076638,False
ACE2,0.0,0.23174998887845308,False,0.0699430515279939,False
ACER3,,,,0.08080745801691333,False
ACHE,0.0,0.041151405395282024,False,,
ACIN1,0.0,0.46212508723991547,True,0.0902737271086246,False
ACKR1,0.0,0.13179992024232332,False,,
ACKR3,0.0,3.975456434593617,True,0.057209513141330326,False
ACLY,0.0,0.5550691415878769,True,0.08265480702265886,False
ACO1,0.0,1.0472222131083793,True,0.06971301679287312,False
ACO2,0.0,0.4638837117295729,True,0.07049091557596447,False
ACOT11,0.0,0.19246087483155538,False,,
ACOT13,0.0,0.9281037983756495,True,0.0891404808985338,False
ACOT4,,,,0.0577215836297673,False
ACOT7,0.0,0.860274069275093,True,0.06701836693569715,False
ACOT8,0.0,0.39180942054339163,False,,
ACOT9,0.0,1.4375491375939682,True,0.059620114941157855,False
ACOX1,0.0,0.43395494240279475,True,0.06237169825720694,False
ACOX2,0.0,0.9421487441122285,True,0.0441870093930987,False
ACOX3,0.0,0.3239726397555975,False,0.08329407845081345,False
ACOXL,0.0,0.08584361252025731,False,,
ACP1,0.0,0.6014809206943764,True,,
ACP2,0.0,0.6733759293322168,True,0.05462353183289359,False
ACP5,0.0,1.3243920239697926,True,0.03298322661864595,False
ACP6,0.0,1.4755024490518047,True,0.05621371098005196,False
ACPP,0.0,0.3384862979974544,False,0.07012749211146722,False
ACRV1,0.0,0.014460891669847743,False,,
ACSBG1,0.0,0.033344160966208805,False,,
ACSBG2,0.0,0.06430077534950586,False,,
