,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111
FU-OV-1,1.5034419,12.134781,-10.5822115,-5.951165,9.346323,-1.937582,3.4426115,8.679263,-7.267424,-2.5238621,6.907574,-0.14848536,9.357744,-0.027763996,3.7297049,1.6193522,-5.1861587,0.5278927,0.71613353,-11.878453,-9.709768,3.3192089,-4.569859,0.6043876,0.74662954,11.456365,-4.793423,-7.5928264,7.098036,-6.0230846,-2.9886613,3.9026332,12.635773,5.648165,5.255388,-6.144433,-8.42865,2.4562135,2.6139622,-3.2990937,-7.47207,2.997027,0.37156406,15.682778,-10.698465,8.1987295,5.59007,-3.2671926,-0.78131837,-11.845622,4.584575,-7.866809,14.3741,-9.475738,4.4376907,9.581774,-7.544719,-12.21388,-3.671198,-2.5653727,4.843512,1.0876383,3.6552918,8.587578,-6.584165,-7.7902193,1.2744137,-5.20681,3.0531993,0.49407113,15.142412,-7.808948,-2.9152186,-7.524869,6.192331,-4.545187,-8.290442,11.378222,1.1056825,1.2688936,-2.4209685,-8.547902,9.614437,-9.628759,-9.341827,-4.330358,-1.5908244,-2.4834104,0.45252466,-11.748471,-0.81382155,-5.3627033,-2.8321023,2.0592353,-11.754942,-13.245512,-8.277801,3.4664595,11.518903,16.845207,-1.3727067,-1.2644563,6.5121813,-6.3082824,10.797298,4.0579185,-4.079896,7.3141766,-2.5079565,-6.4495387,1.8098794,-2.161588
IGR-1,-0.8675387,5.34827,1.4288083,-5.8640738,5.992672,-2.9395843,-1.182939,10.511879,-3.1749845,-4.071241,0.86342674,2.1824353,0.6330857,1.595966,1.0345811,0.03507422,-0.9722786,1.65843,1.4245998,-8.312686,-10.060626,5.270831,-2.2395902,4.3833714,2.495915,2.8552837,-5.4680634,-3.9008784,1.305895,-0.9773033,-4.947146,-2.1113882,5.4309545,6.004416,6.1229515,-6.2028337,-4.9559917,-5.367441,7.5001917,-5.6868954,-3.4158103,2.3775313,4.083439,7.3982177,-4.6202583,3.52737,3.7455173,-4.290362,1.956193,-5.480481,4.041413,-2.6014383,8.484402,-5.1447883,3.067268,10.599882,0.38599277,2.2664444,-1.1063534,-2.2906072,-0.39203992,3.6724288,6.607325,7.160203,0.4536298,-3.370149,-8.068803,-0.68736225,2.8933828,-2.2927191,5.4315786,-0.9366239,-1.6222678,-2.1074364,3.838133,-1.0856677,-1.5800931,8.11278,2.7657058,-8.639106,-2.453061,-10.622692,3.6235285,-4.4902725,-2.1589243,-0.2510864,-0.08680859,-1.2150601,4.6183414,-3.986921,3.5326085,0.60261285,-1.1337395,11.769659,-4.873865,-6.3705635,-3.2653446,1.3462662,3.008577,7.467873,-5.702241,5.498643,3.0581925,3.7879977,4.1334486,0.26534405,-5.333099,1.464508,-0.19943008,-5.8701587,3.7141254,-3.1890597
COLO 704,8.89742,-17.428434,17.195932,-1.0549791,-16.432318,2.432325,-13.339952,-9.82036,11.011382,4.1023917,-4.5484376,8.873877,-21.9531,5.0151186,-6.9251385,1.761064,15.935482,3.945631,2.9869823,25.385857,18.703821,-8.601943,2.1762772,4.2198534,0.54903287,-20.673391,5.377506,18.11947,-15.827728,7.849945,-0.35065076,-7.2627187,-20.124096,1.3378649,-0.37539837,3.1466284,9.99839,1.4619834,6.925912,0.1518935,10.698499,-15.8403845,-5.0687065,-18.320782,20.319044,-14.786112,-15.56718,13.430571,0.624228,14.957808,-2.8792996,11.146181,-23.27144,8.342964,-0.18298765,-24.420116,5.563827,18.772238,9.547287,-15.102324,-5.5775466,-2.964627,-3.3660252,-10.269291,13.507293,15.711531,-5.609805,3.9804208,-1.8048167,6.216271,-24.837208,18.684462,2.1296115,8.162649,-11.253456,3.3535569,4.514611,-22.710405,-10.17978,-2.4644961,5.572185,15.437053,-15.5915985,12.958515,4.386252,7.3483,-6.0393753,-0.3860493,-7.4470005,13.103725,-2.660764,5.0367885,13.068149,-12.654837,20.57398,25.469542,19.294296,-0.44166487,-13.908826,-30.84125,10.626522,-3.645964,-12.553662,5.3631263,-17.42694,-6.656601,11.926042,-19.115755,0.031382468,5.462463,6.717213,1.6388077
SNU-1197,9.583673,9.85684,-10.272988,-8.851236,10.430253,-3.415388,-1.5648631,11.422253,-9.243587,0.6819999,9.30865,3.4191685,8.307348,2.5732515,-2.4337554,-2.6666381,-4.1317434,5.7217126,1.2114135,-8.727949,-4.367404,-0.33753845,-6.501617,-4.0514064,-6.154065,7.6646776,-6.6672063,-2.2683237,2.5544813,-3.422878,1.3825716,3.3940837,11.911607,8.968645,5.981184,-8.859792,-5.00427,3.572895,7.639728,-4.60642,-10.874601,-1.3378799,-0.2792984,21.89456,-11.70644,8.47944,1.7444189,0.027537357,-3.778598,-11.144781,9.985748,-7.882696,15.146408,-14.791183,-0.2593179,7.073557,-6.423473,-14.549773,-2.1098344,-8.165989,2.4767964,-0.6456244,7.104017,5.266629,-7.5797324,-5.63031,-0.11640344,-9.045652,14.366185,2.9846528,16.30472,-4.610268,-7.694401,-1.5946764,8.985157,-3.7588243,-14.896824,8.079539,-5.8466144,2.5795298,-3.8892813,-10.2671,6.6270742,-9.821323,-14.330569,-4.570224,-1.0314865,1.9844385,-2.1159294,-13.343955,2.3243876,-3.9333084,1.0756807,-6.717077,-5.98622,-12.446053,-6.529782,9.93532,14.857736,14.6473465,-3.6239166,-6.7582617,6.5868206,-7.5981145,8.25582,5.23948,2.3609467,4.134994,-8.795605,-4.149121,-0.6756683,1.5052446
SNU-216,7.9553103,8.669307,-7.9674673,-6.193218,4.295676,-1.1467296,-2.8088038,6.9932537,-4.7886453,0.30115762,4.6434693,3.9766695,5.11973,0.58403677,-1.8096379,0.7376056,-2.8823724,3.9525533,-0.97238547,-5.0248218,-0.19269596,-3.6428573,-3.1825438,-0.32602343,-5.0195384,4.53674,-1.7257029,-1.4198308,1.175228,-4.6396427,0.70867383,6.1674685,7.0354877,6.9644494,7.6750793,-2.8206599,-4.6012692,6.2327504,5.1119704,-3.3013878,-6.4182463,-2.0618224,-3.0617602,15.0529175,-6.120253,3.573296,-0.67180514,1.1934116,-0.7569766,-8.430115,3.7034066,-7.5986147,9.957544,-10.095378,2.047097,1.8761034,-8.440503,-11.163147,-1.0757127,-7.153444,4.331626,1.4029186,2.4280527,4.8029685,-5.439168,-2.5973232,1.7262722,-4.4342494,7.241345,0.36952746,12.255312,-2.5575032,-3.0374942,-2.7652242,3.5626192,-4.7009926,-9.07333,3.9470918,-5.777198,4.707666,0.12920223,-3.60522,3.2720952,-9.843325,-11.0115385,-3.8109064,-1.1915944,0.78754014,-0.100392565,-10.976651,-0.34438375,-5.952242,1.1545027,-10.973913,-4.118216,-8.696124,-3.735516,4.667661,8.423202,9.209201,-0.74755394,-5.4841022,5.316848,-7.046126,4.997581,3.8601813,4.714596,2.4475396,-4.6422157,-4.103185,2.2071621,0.4986536
SBC-5,2.6576333,-1.5642064,1.8045915,-2.5179315,-0.4347361,-1.1000131,-2.4538283,0.94783,-0.6422131,1.4486085,2.0698109,2.3696396,-2.109497,2.3108113,-1.7180929,-0.7575773,2.7103467,1.8137469,2.1333265,2.3642027,1.1503878,-0.59854096,-1.6984843,-0.009858739,0.1537067,-1.8640403,-0.77725506,2.393791,-2.4997835,1.3127824,-0.7708492,-1.8429188,-0.911273,2.2157207,-0.11250099,-1.7828941,0.99445975,-1.1785195,2.920492,-2.0944064,0.07868805,-2.2448287,-0.21029389,0.7648755,0.30678216,-0.050925914,-3.1612177,2.7955668,-1.2707691,1.3221847,1.326334,1.6327318,-0.7016734,-0.7978032,0.3912805,-1.8832546,0.60986215,1.3371081,1.7366655,-4.0554953,-1.1903133,-1.0098004,1.9988104,-0.6463115,2.1027486,1.7663084,-1.1649615,-1.3039416,1.3231723,1.3216844,-1.8110336,2.5431051,-1.6351321,1.1811638,0.8881696,0.4650503,-2.2536175,-2.0317056,-2.2219975,-1.4608215,-0.96530473,0.5856954,-1.9079314,1.9064047,-2.0447352,0.36889008,-0.93525493,-1.0203766,-1.3569099,0.31734306,0.3142407,0.51382715,2.6584644,-0.9184528,1.9479245,3.01442,2.7977793,1.9419142,0.5656858,-2.8634517,0.35718232,-1.255553,-1.6108404,1.7864655,-1.4358758,-0.8229161,1.4666744,-2.4816735,-1.2344708,0.4329878,0.47254565,0.8616591
1321N1,-1.1845499,9.255112,-1.322312,-10.803104,13.327771,-7.3824515,-0.65987456,17.177843,-8.034731,-2.1643069,7.0672364,1.1551932,3.438966,4.993525,1.3687289,-4.0737596,-1.2094306,3.958853,5.3040214,-14.407231,-20.016428,10.278243,-6.9139943,2.4890277,3.8100884,7.547782,-10.664736,-6.784581,4.3372884,-0.6146193,-5.5867276,-4.661311,11.512628,9.717649,6.541998,-12.373635,-7.948272,-10.077224,11.342686,-9.961394,-7.6391454,3.1317606,8.575239,16.558165,-13.198154,8.380685,5.8065324,-6.1170855,-1.2230732,-6.710389,9.097033,-3.6142704,18.832464,-10.864827,1.990476,21.519115,1.983584,-2.299584,-1.6147429,-3.4885135,-1.2908436,1.7929432,12.990692,10.375507,0.20605452,-7.945492,-11.559039,-5.0783796,6.937774,-1.1064526,11.23317,-3.8114495,-6.917931,-4.2182956,10.858257,-0.6284536,-8.124591,15.523319,3.8657,-13.222459,-7.2697577,-19.448708,9.181212,-3.6662736,-4.328004,0.29590625,-0.738343,-3.6918428,5.630002,-8.13813,5.9694476,1.5317324,-1.8481832,20.492937,-10.367288,-11.772808,-5.9433618,7.5975666,10.52974,15.002678,-10.119318,6.4574714,4.539102,4.286196,9.755837,2.397054,-9.196845,5.769434,-3.6298513,-9.564194,0.84366316,-5.064609
SNU-503,0.13135071,9.28011,-12.275054,-0.73347,4.922305,0.7888904,3.887321,0.6245503,-3.4104362,-2.5911522,3.7535105,-2.9486256,7.357294,-3.908205,2.3091395,4.578114,-6.687167,-3.2497063,-4.451817,-10.492255,-4.993719,0.4620295,0.46272808,1.2844236,1.8776215,9.658095,-0.0473062,-6.559426,6.4306836,-6.1746044,-0.20832656,8.335628,10.390165,1.028955,5.444402,-0.651745,-5.603469,6.624051,-1.8259726,3.496106,-5.5552344,3.021551,-3.3113947,11.251546,-5.8004975,4.0736,4.0406,-3.0203104,0.72865325,-8.977526,-1.532686,-6.567232,9.001336,-9.420583,6.2448144,3.1672547,-11.115069,-13.001833,-5.1851563,-1.9342414,5.8864083,2.9488237,-0.29657587,6.1462517,-5.2753706,-7.5240126,7.009646,-2.0614161,0.68065715,-2.944692,12.641361,-8.361417,-0.07755826,-6.0428777,1.3235539,-4.2978497,-3.7224996,7.9307156,1.762985,6.817045,1.1799312,-0.99331677,7.1886024,-7.903132,-7.5798793,-5.1931076,-0.45880696,1.8449575,1.9218708,-9.550038,-2.6178467,-6.636669,-3.9114547,-5.598768,-10.233233,-13.068552,-7.664497,1.6176912,7.014907,13.336014,-0.94671357,-2.854808,7.9318485,-7.2212234,9.677709,6.494275,-0.73790526,8.445619,0.64057446,-5.20826,3.2980812,-2.8731048
SW837,10.526761,3.013496,-3.6690226,-6.383582,2.0080638,-2.1090407,-4.45499,6.143676,-4.9311566,2.3576567,5.9414506,6.4385276,2.4411519,3.2831485,-4.9205413,-2.7130501,-0.15313332,6.292179,1.8765225,0.6466108,4.3081675,-5.132413,-4.755523,-3.73755,-6.8217607,0.73872375,-2.7308784,3.4957519,-2.9800737,-0.5204319,1.2371265,0.8800431,3.1133022,6.9491467,2.1321108,-4.0749874,-0.75379497,3.825118,6.800521,-4.260762,-4.7072654,-4.330176,-3.4473207,11.044176,-3.8574119,2.5611978,-3.9367256,4.224577,-3.7806084,-4.866826,6.663608,-2.724116,4.68849,-8.182924,-1.5879426,-3.538684,-3.084963,-6.845012,1.9831256,-8.40723,1.3305756,-1.3111031,3.2938945,-0.017935451,-3.741297,2.4510417,0.33894178,-5.804202,11.279555,4.1458697,5.941243,1.8885326,-4.8180156,2.1966753,4.7261944,-1.9699196,-10.5273075,-1.3380839,-8.800892,3.4837954,-1.9668614,-2.1023533,0.17518502,-3.4732294,-10.687283,-2.1296606,-1.468857,2.0773408,-4.1137724,-6.3715963,0.7289118,-1.8907338,4.3158937,-10.472204,2.2704232,-1.1907582,0.9005585,7.458204,8.110254,2.518016,0.8733636,-7.0913987,0.63122576,-3.7571135,0.48577714,0.17685997,6.149065,-1.8577435,-7.1006565,1.7116089,-0.59834856,3.8845308
SU-DHL-1,-6.1316857,-47.812172,35.581467,28.752096,-38.335087,18.027653,-9.24886,-45.825157,27.259645,-1.5853118,-27.903563,1.3734727,-37.88412,-5.839878,-8.36006,11.649949,17.822557,-14.075593,-13.779694,45.538616,42.589466,-10.658306,24.84365,9.810546,5.8050017,-40.956825,20.50189,24.496346,-25.680511,18.14433,4.273192,-9.014287,-45.29258,-23.283525,-8.556158,21.595272,35.289562,-2.1536505,-14.473015,25.644598,24.737474,-12.999929,-8.066609,-60.925262,48.288177,-30.475409,-17.648823,11.21692,12.292982,36.084095,-27.286707,25.5292,-69.44008,31.32737,3.3094194,-50.300735,9.684742,47.39875,5.991121,-2.9843793,-17.91923,-0.1794296,-17.3899,-32.143745,25.244083,25.944626,4.3932843,25.11816,-18.458626,-2.5012853,-59.360252,26.168432,17.07801,22.492098,-34.060448,16.360748,34.19965,-42.252308,0.6524059,5.2005124,17.737183,40.9685,-42.212605,20.687561,23.199636,13.40292,4.3787007,11.89012,-7.040901,44.04157,1.5262876,13.352381,8.880536,-28.982864,39.481396,45.003708,25.330978,-22.195415,-49.805702,-62.747826,12.89045,3.5029824,-16.91295,23.829823,-38.471848,-10.556649,15.61976,-30.151728,17.806644,16.895264,7.172039,7.414898
