feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1BG,0.0,0.22578442872648646,False,-0.03654021065351274,False
A1BG-AS1,0.0,0.22578442872648646,False,-0.03654021065351274,False
A1CF,0.0,0.24092861164609808,True,,
A2M,0.0,0.2714521798086867,True,-0.029983067874217166,False
A2M-AS1,0.0,0.2714521798086867,True,-0.029983067874217166,False
A2ML1,0.0,0.26965334205645813,True,-0.03278286982699729,False
A2MP1,0.0,0.2685604033765074,True,-0.03181473832521165,False
A3GALT2,0.0,0.20051506223452442,False,,
A4GALT,0.0,0.20799809542057313,False,,
A4GNT,0.0,0.2088181286493543,False,-0.040276810672778135,False
AA06,0.0,0.23716787578414109,True,,
AAAS,0.0,0.18817738456566702,False,,
AACS,0.0,0.1853401806633364,False,,
AACSP1,0.0,0.24684444766125102,True,-0.03112987355614731,False
AADAC,0.0,0.24910641145294724,True,-0.023290949434486216,False
AADACL2,0.0,0.22357668980488346,False,-0.03718600179528391,False
AADACL3,0.0,0.2222976369234319,False,,
AADACL4,0.0,0.22401865465741366,False,,
AADACP1,0.0,0.22519437739622417,False,-0.03603402703442743,False
AADAT,0.0,0.1962781013518422,False,,
AAGAB,0.0,0.17484899869131762,False,,
AAK1,0.0,0.16273680445507535,False,,
AAMDC,0.0,0.2845366616516533,True,-0.023031843033272194,False
AAMP,0.0,0.1577101193902929,False,,
AANAT,0.0,0.2200119459519516,False,-0.04226730748500138,False
AAR2,0.0,0.2944992880767817,True,-0.04866521421531447,True
AARD,0.0,0.3375790372702061,True,-0.038202300614333995,False
AARS,0.0,0.21394632281401968,False,,
AARS2,0.0,0.20610757056308596,False,,
AARSD1,0.0,0.19702477253497655,False,,
AASDH,0.0,0.21537326311673657,False,-0.0035173459121718926,False
AASDHPPT,0.0,0.30090393131928006,True,-0.025258603281763423,False
AASS,0.0,0.29239022948092847,True,-0.046683110135443476,True
AATBC,0.0,0.187826387053766,False,,
AATF,0.0,0.22348512549569685,False,-0.019412866043202567,False
AATK,0.0,0.21421514816955395,False,-0.041167878489472655,False
ABAT,0.0,0.19227105198727426,False,,
ABCA1,0.0,0.20574887608006356,False,,
ABCA10,0.0,0.22423064891416752,False,-0.04533980540893243,True
ABCA11P,0.0,0.23269029414906803,True,,
