,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126
Hep-G2/C3A,-2.049336,2.5282645,2.839741,1.4235133,-0.057518754,-4.4910727,3.413765,-2.5046587,0.82513535,1.2272973,0.7328656,-5.892194,4.8537073,-3.030232,4.613115,-0.80479413,-3.4877858,-0.49427536,-2.8361692,2.2548463,-0.5651759,-3.1398952,3.0335932,-2.1563067,-1.2070061,4.288017,1.0546783,0.360961,-5.3509207,0.57885563,0.8877588,2.056877,-0.4008245,1.1717064,-2.230973,1.0775117,-0.6841161,-0.9840009,-0.1274708,-0.81963843,0.6954935,-2.3886344,4.1839085,1.5983866,6.10941,-0.2698749,1.4116237,-1.7017584,0.5722154,-2.2595077,0.12476659,0.9494048,-4.665071,-3.8176928,-0.43197933,4.7907405,0.40973967,-0.7122223,-1.137417,-3.9255183,-0.8102586,0.08823044,0.07780921,0.92115736,-5.49816,2.403071,2.2107897,-1.0014923,3.574681,-3.6146903,-1.9664171,2.520954,-2.2971518,4.5852513,-1.1300719,1.8409374,1.9679555,3.3650413,-1.3671042,3.795557,6.56182,1.3575729,0.5378281,6.4665294,-1.9265623,7.102271,1.671825,2.5114968,-3.4365575,3.2378557,-0.88234943,-2.1827579,-3.0007012,-5.040927,1.2882437,-4.1934514,-0.8817468,-5.56287,0.15698108,-4.3073344,3.9351082,-0.20062992,-2.849667,-5.1138306,-1.6106211,1.5661477,3.1238115,0.7108495,-0.005959886,-1.6995904,1.222607,-3.8504841,-0.72909343,3.9290373,1.6108986,0.9651781,-4.999748,1.502724,-3.8337207,0.40861344,-5.773016,-1.5642102,-7.265478,-0.06656205,0.9206713,1.108788,-0.92515635
A-253,1.6940024,-2.0061626,-7.0224495,-8.3509,-2.7006953,3.8589265,-6.611385,5.970812,-5.5461555,5.84128,-1.0780883,8.500716,-10.365075,7.3345914,-3.7527852,0.3772923,3.475974,9.582665,-3.5752182,-2.8570592,8.680372,4.342713,1.6533335,4.756378,-5.788066,-4.376579,-3.1356473,-0.5591657,7.3996897,-1.1299689,0.34683686,-6.214104,2.652488,2.1126118,7.8341846,-1.0925072,1.9271172,4.475133,3.1895604,1.0804489,-4.127468,0.4794895,-9.531487,-2.8397667,-15.521045,1.0064186,-1.8265955,12.095748,-2.047348,3.8757749,-4.975171,9.362705,7.1750693,11.259345,9.375213,-10.655051,-0.35970682,4.2478724,6.761028,4.6867366,-2.4664233,5.887124,-2.685732,1.8488932,8.456211,-4.345991,-6.6684613,-2.046,2.8856864,-1.1721445,3.2219563,-7.7760863,-1.3286518,-8.951061,-1.3114043,-1.1290925,-5.0126505,-2.573722,1.6374645,-8.55531,-14.36679,-1.243209,-1.646569,-4.4036694,-1.979972,-1.1301821,0.19539477,2.9194303,4.4101286,-6.5710588,-3.5396936,4.6737967,5.4982705,0.7289745,-4.0034285,-0.84079623,1.8303137,2.03429,-5.4973965,2.314983,-3.6977828,0.5493559,4.0233116,3.8806965,-0.27456397,-2.033039,-7.375045,-2.8564403,0.77752954,11.499197,3.807376,5.929737,-2.8462596,-1.1780692,0.4478141,-7.8105583,4.952178,-6.2853036,0.82826394,-3.253572,11.11403,6.60965,9.409598,3.752327,0.8863055,-1.3302999,1.8428315
GCIY,0.21143892,0.14290667,-2.205189,-3.4368634,-0.71563053,0.6751035,-1.1844196,1.5508392,-0.80301017,1.9487964,-1.0128082,1.115606,-2.1381147,1.2560197,-0.69489104,-0.63297814,0.39921224,1.8557198,-0.6514513,-1.2597818,1.9789596,1.1871287,-1.3392264,-0.1314812,-1.9139814,0.41796246,0.020791959,0.2763099,1.9252307,0.86993885,0.6079097,-1.0926329,0.5018855,0.30254447,2.5737193,-2.4795113,0.9696873,-0.5384216,1.3209649,0.7289789,0.4492858,-0.45621192,-0.42783624,-0.54184294,-2.8956623,-0.9750321,-0.51069957,4.020772,-0.458457,0.76367015,-0.13773215,3.2092335,2.0066035,2.6573162,1.6686527,-1.7051523,0.04509736,2.1341064,0.66118485,0.9253869,0.69676155,3.0974896,-0.03298021,0.7660265,-0.25936466,-1.4426314,-1.560095,-1.1207325,1.4458889,-0.05166221,-0.4727617,-1.6874038,0.01921942,-2.4062304,0.19990832,-0.4237199,-0.36100638,1.2304693,-0.9199466,-2.4784794,-2.2942948,-0.5332393,-1.5990578,-0.82772124,-0.77137345,2.4481192,-1.4109784,0.19457334,0.9984448,-1.6875027,-0.79830617,0.67366594,1.7321349,-0.40418065,-1.6634717,0.15021071,1.296528,0.018093124,-2.781533,0.73748076,-1.3085282,-0.30967772,2.326016,1.4167341,-0.40966004,0.09765317,-1.1135992,-1.294346,0.52072287,2.2617536,0.7103317,1.4987288,0.09924371,-1.8624269,-0.99517727,-3.4438689,1.4104908,0.09045215,0.6921604,-1.9584961,3.072375,-0.125656,3.130916,1.7189025,0.15419218,-0.41310763,-0.86962605
COLO 684,-6.402342,8.141615,7.3794627,0.98561513,7.302449,-3.3104024,5.845574,-3.2768176,4.6138725,-3.7821226,-1.6060864,-8.697458,8.434728,-4.938551,8.00757,-8.2644,-6.4077287,-7.633553,2.189285,1.7926277,-2.9244573,-1.8597666,-1.858051,-9.667916,-0.36837018,7.3186655,-3.0385046,-2.188694,-5.779394,-0.95642924,5.348839,2.8966117,-4.6651993,1.6461077,-1.3138783,-1.3117634,1.5086628,-6.775875,-0.6861857,3.0787804,4.131854,1.1846645,9.444848,2.8240678,9.55076,-2.9725,-2.135061,-0.20524544,2.158106,-10.118249,7.974791,0.51272684,-5.686013,-9.590426,-8.135738,9.524873,4.3352504,2.5270183,-4.2528625,-5.7096715,2.4143784,3.3248935,5.808498,3.50432,-14.488501,-0.55216235,0.7045092,-3.9548016,-1.8367099,-2.582868,-10.46584,0.95045334,-3.171276,6.802915,-0.99606454,-1.3071382,7.1841874,9.979635,-5.3937464,8.762739,16.121237,-4.293389,-3.8598287,11.603378,-5.0684967,14.388868,-0.69075835,1.074227,-5.987017,2.2122405,-1.7595756,-8.304902,-4.5239573,-4.3876624,2.1828005,-2.808833,5.0194955,-2.007564,2.4192915,-4.8197637,4.9818206,1.545679,0.38883916,-6.1825247,1.8966678,-3.554221,11.223254,-1.8927078,4.6445975,-9.664492,-3.9064252,-3.9761136,1.6073135,3.4537683,-2.2901242,-1.4882637,-8.495526,2.8385527,-2.7312195,-2.8757083,-4.8441315,-10.903032,-11.109613,2.1888843,-1.6144118,-1.0401608,-1.5275098
NCI-H854,-4.104694,3.8688946,6.982414,4.1568036,1.3422664,-8.011327,5.571535,-5.5272813,1.4213762,-1.480253,0.730374,-10.57869,10.417627,-6.9720087,8.548297,-2.7067049,-5.3667684,-5.4388638,-4.1748166,5.3595123,-0.99266297,-7.3637824,4.4289436,-3.663126,-2.7052026,7.2272196,1.400986,1.0236466,-8.870049,0.22131184,0.28523716,4.295385,-0.46695632,2.1515443,-3.3602202,-0.35305813,-0.30291143,-1.7751223,-1.7790376,-1.3928959,0.30768675,-5.6362205,8.275825,1.513082,12.737072,-0.06276137,2.1257722,-4.7534785,2.8268778,-6.7996945,2.781347,-1.6868705,-10.850412,-9.682528,-4.3771734,9.125371,-0.4978554,-1.9608916,-4.655214,-6.9490705,-0.8163096,-1.9200958,1.9413064,1.8929653,-9.959054,3.6949346,3.5580266,-2.464325,3.710384,-7.9649076,-4.6917543,5.2563443,-4.204327,8.814758,-3.6384635,3.518654,5.4115515,6.822944,-2.3247602,6.991946,13.619342,1.1103293,-0.11519258,11.662824,-3.0427544,10.87774,5.351599,4.979796,-8.391923,6.7778306,-1.637727,-5.839966,-7.617562,-5.852571,3.127229,-6.72603,-0.774555,-9.262344,2.2359083,-6.9086423,8.038718,-0.8493866,-4.736859,-8.199619,-0.9285663,0.45298803,6.269411,2.2942417,1.097855,-7.3043427,-0.22479352,-4.9286466,-2.6554348,8.475212,1.8211617,2.6828113,-10.800488,2.40327,-7.1621304,2.6451778,-11.635299,-4.878923,-14.867072,-1.8870791,1.6096581,0.41210473,-0.6876832
SNU-C2A,4.4536314,-3.8609924,-10.711624,-13.191641,-4.4816313,6.3028116,-10.343224,8.27457,-7.756338,8.250781,-1.5379518,12.652727,-17.177076,9.311011,-6.561077,-0.42364994,5.434811,12.865881,-4.4776325,-5.734171,13.836937,7.055111,-1.2131419,5.1125917,-8.975492,-5.2095985,-3.7990787,-0.76734525,13.599904,-0.540687,1.2530041,-9.354211,4.558532,3.1239512,9.550935,-4.48505,4.114468,6.0346336,4.139271,1.4199076,-3.2489471,0.16543698,-11.4456835,-4.111019,-20.926826,-0.56338674,-3.404368,18.351711,-2.5980918,5.177371,-7.0180864,14.080072,9.566652,18.24009,13.831352,-16.273756,-2.7010458,7.5610347,10.290343,7.60006,-1.8018136,9.985333,-3.0811625,1.9494905,12.264541,-6.0978556,-9.217176,-3.2127037,5.361103,-1.1724948,3.5651052,-10.952476,-2.4161713,-14.06492,-2.5084374,-3.703169,-5.8586855,-1.9749563,0.66189533,-13.467702,-21.500034,-1.4013789,-3.7762363,-7.808776,-3.122522,0.07395654,-1.0911514,4.2210917,8.091088,-10.042245,-6.0437446,7.239249,8.080627,0.7715798,-7.137889,-1.0804324,5.235345,4.0271363,-10.660395,6.519809,-7.088031,-1.0822194,8.911287,7.8610306,-2.1480432,-2.0787253,-11.1564245,-4.573881,1.1080914,17.774887,5.1539598,10.293536,-3.991364,-2.400469,-0.3699541,-12.567935,7.716138,-8.802494,3.5209482,-5.47986,18.109888,8.902796,15.281915,5.65359,1.9040921,-2.292526,3.2232616
KE-39,5.979788,-5.89326,-9.04707,-10.905236,-8.552819,4.2670054,-11.241659,6.0634336,-10.335678,8.6380415,-0.36199322,12.085077,-15.85634,8.552315,-5.9011283,3.0189202,6.594132,13.42068,-8.803648,-2.050904,15.505819,3.4605935,3.2423606,8.854007,-11.191315,-5.7620425,-4.2481933,-0.25850603,11.891347,-1.6238219,-2.6670063,-8.958891,7.3526993,4.5701294,8.310011,-3.1294734,3.4197478,10.909251,4.0423775,-1.9301003,-7.314704,-4.155925,-12.514011,-4.6463947,-19.663677,2.7576957,-0.91952527,15.725581,-1.9548696,5.7419353,-9.084092,11.987087,5.343735,17.947796,16.27411,-17.445482,-5.6396365,5.4335685,11.255685,7.7991376,-4.7147894,6.2379704,-5.1981797,2.8657022,16.128515,-4.944256,-8.19238,-2.9967375,7.509915,-6.2750483,6.6086473,-10.278649,-4.5034313,-13.252194,-6.5104995,-1.1686273,-7.4048634,-3.8893156,3.2078931,-13.990348,-24.651922,0.9873313,-1.6938932,-7.5013185,-3.0726829,-2.6620727,3.8624744,8.184131,6.2348666,-7.0128427,-7.3592076,8.919031,5.222276,-0.90693426,-5.080615,-4.6719823,1.7545099,-0.5056499,-9.408762,5.305639,-4.026477,-2.7628903,5.0688524,6.3470883,-3.1541882,-0.74100286,-14.224964,-1.7390753,0.0541418,18.504726,7.267733,9.759031,-6.844586,2.2031205,3.2777536,-9.500952,5.6374187,-10.102152,-0.3208925,-1.1084604,14.820096,13.389111,11.424937,1.7466265,3.6253064,-0.9943543,5.7313633
YAPC,5.6565027,-6.0101347,-10.055268,-11.746794,-8.779172,4.4754806,-12.185688,6.9563165,-11.185331,9.709977,-0.2917616,13.264274,-16.876244,9.937653,-6.2548237,2.7389042,6.887159,15.181161,-9.770676,-2.1771295,16.77153,3.8958118,4.2800593,10.246526,-12.00646,-6.6817503,-4.7115173,-0.1341413,12.289418,-1.9044392,-2.366279,-9.845587,7.520072,5.01612,9.862261,-2.870183,3.574129,11.473929,4.543948,-1.3742421,-8.536203,-3.962309,-14.457379,-4.917654,-22.249989,3.3340125,-1.1088514,17.30297,-2.4443195,6.2802563,-10.459483,13.274631,6.4370484,19.385094,17.876951,-18.790298,-5.1953835,5.651606,12.407268,8.22445,-5.2446775,6.9871387,-5.780443,3.218457,17.602396,-5.3638887,-9.168848,-3.4674277,8.004446,-6.6697836,7.3353906,-11.549876,-4.8344903,-14.277565,-6.4987884,-1.0927935,-8.352155,-4.6617603,3.3981893,-15.067228,-26.609655,0.79014504,-1.8114772,-7.598758,-3.19238,-3.0942752,4.452783,8.881334,6.440583,-8.096493,-7.684068,9.361947,5.96373,-0.67977625,-5.585011,-4.8424125,1.6934712,-0.592382,-9.618353,4.8600082,-4.4036508,-2.2086828,5.109211,6.2852616,-2.8504179,-1.3820553,-15.061862,-2.0705862,0.0011520209,20.067154,7.7198453,10.325282,-7.3313913,2.455486,3.5874124,-10.571389,5.8851566,-11.468647,-0.8303739,-1.6259818,15.947028,14.65419,12.384189,2.5605347,3.6375873,-1.1951466,5.7459636
HCC366,-1.7004765,3.0148358,-0.23945698,-3.0501566,3.1252947,1.9804375,0.47829473,1.4762788,1.4754794,-0.08289378,-1.5907742,0.26261452,-0.86627746,0.8301932,0.53745294,-3.4227562,-1.1553469,-0.3680898,2.6608953,-2.1349707,-0.5484012,2.7097256,-3.359632,-3.8035853,0.24508272,1.2261968,-1.9212592,-1.3276452,1.3652725,-0.01625425,3.2169137,-0.9368843,-2.1950428,0.007813271,1.9798499,-1.4141643,1.3370081,-3.3162537,1.1116668,2.6983347,2.527162,3.1000984,1.2441754,0.5985341,-1.6743442,-2.0060272,-2.1298945,3.9417984,-0.4126553,-1.8574675,2.904254,2.7936783,3.0778832,0.22589831,-1.6828581,0.59286726,3.007688,3.220196,0.00081272796,0.20219743,1.9189509,4.352252,2.0503328,1.324863,-4.116352,-2.5574567,-1.999753,-1.45264,-1.7136816,2.3289857,-3.6219108,-2.3633888,0.40658018,-1.133961,1.5969744,-2.3467987,1.3171765,3.1683826,-2.3977168,0.5725071,2.006123,-2.9032636,-2.5264149,1.0718337,-1.8646997,4.4766192,-3.7333581,-1.6603326,0.89117956,-2.4955053,-0.5222098,-1.552422,2.071038,-0.22048888,-1.1989291,1.5805657,3.430485,2.821907,-1.124661,0.44869167,-1.4440755,1.2230366,3.2158341,0.5533354,1.1351258,-1.7285469,2.8900824,-2.806036,2.1073098,-0.8396518,-1.5152512,0.2563931,2.0925229,-2.8627017,-2.5219376,-3.6104743,0.8521545,0.7455486,1.9719476,-3.7436054,3.6315327,-3.937396,1.9593587,3.2522779,-1.5961095,-0.8201897,-1.296904
KM12,-2.9656906,2.3358474,4.3288426,2.378222,1.1827494,-4.801178,3.4066834,-3.1519885,0.4273102,-0.8023553,0.5063169,-6.1243424,6.2877817,-4.288247,5.157726,-1.8955445,-2.9011645,-3.0127017,-2.689827,3.2918231,-0.538192,-4.5520988,3.2595162,-1.9569988,-1.799791,4.01674,0.7880294,0.91496724,-5.337391,0.086149246,0.23205882,2.3234053,-0.12660491,1.5090349,-1.517214,-0.07324839,0.14516225,-0.784862,-1.1141176,-0.5068179,-0.15002668,-3.256606,4.551082,0.5191691,7.0813193,-0.1315804,1.2884206,-2.4558823,1.7932614,-4.319147,1.7633191,-0.9070634,-6.4309435,-5.7945447,-2.9045265,5.325945,-0.08271306,-1.5128182,-2.9229023,-4.201656,-1.0474533,-0.89751804,1.2524991,1.0170232,-6.271493,2.103371,1.61963,-1.6333089,2.0881157,-5.118721,-2.7764826,2.9221802,-2.8600132,5.177606,-2.0487509,2.1948395,3.0777442,4.449361,-1.4707391,4.134152,8.409288,0.4647434,-0.12556957,7.4274955,-1.8751014,6.6282954,3.5349462,3.108696,-5.3154616,4.0444245,-1.2457995,-3.9851272,-4.6946893,-3.4544277,1.6357017,-4.084668,-0.2565616,-5.8545966,1.4515992,-4.5303035,5.1613927,-0.14711636,-2.7632046,-5.0574393,-0.19978397,-0.08351689,3.8653018,1.131122,0.59284914,-4.495729,-0.0735074,-2.535327,-1.8058687,5.5850105,0.8123466,1.6858205,-6.973571,0.90558904,-4.682333,1.3842559,-7.107093,-3.0350013,-8.920606,-0.8528648,0.6746351,-0.2509386,-0.58931243
