target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,mutation,MSH6,0.001405864,IntegratedGradients
Erlotinib,0,,mutation,KRAS,0.0003573634,IntegratedGradients
Erlotinib,0,,mutation,SMARCA4,0.0019337125,IntegratedGradients
Erlotinib,0,,mutation,APC,0.000652867,IntegratedGradients
Erlotinib,0,,mutation,NF1,0.000110478766,IntegratedGradients
Erlotinib,0,,mutation,TP53,0.0012131664,IntegratedGradients
Erlotinib,0,,mutation,BRAF,0.0006907491,IntegratedGradients
Erlotinib,0,,mutation,CDKN2A,0.00018822099,IntegratedGradients
Erlotinib,0,,mutation,PTEN,0.0023529707,IntegratedGradients
Erlotinib,0,,mutation,PIK3CA,0.0015938409,IntegratedGradients
Erlotinib,0,,mutation,NF2,0.00029960033,IntegratedGradients
Erlotinib,0,,mutation,STK11,0.0010060568,IntegratedGradients
Erlotinib,0,,mutation,MAP2K4,0.00024254891,IntegratedGradients
Erlotinib,0,,mutation,PIK3R1,0.00087628566,IntegratedGradients
Erlotinib,0,,mutation,CDH1,0.0014198355,IntegratedGradients
Erlotinib,0,,mutation,CTNNB1,0.0004264412,IntegratedGradients
Erlotinib,0,,mutation,FBXW7,0.0015289111,IntegratedGradients
Erlotinib,0,,mutation,NRAS,0.0007195207,IntegratedGradients
Erlotinib,0,,cnv,MIR296,2.0162794e-05,IntegratedGradients
Erlotinib,0,,cnv,LUZP6,3.1593838e-05,IntegratedGradients
Erlotinib,0,,cnv,SNORA22,2.9727285e-05,IntegratedGradients
Erlotinib,0,,cnv,NUPL2,1.9466479e-05,IntegratedGradients
Erlotinib,0,,cnv,KIAA0586,2.7089041e-05,IntegratedGradients
Erlotinib,0,,cnv,RNASEH2C,4.183606e-05,IntegratedGradients
Erlotinib,0,,cnv,SLC24A4,2.6411535e-05,IntegratedGradients
Erlotinib,0,,cnv,SNF8,1.2815079e-05,IntegratedGradients
Erlotinib,0,,cnv,RGN,4.014056e-05,IntegratedGradients
Erlotinib,0,,cnv,DEFB116,1.8021989e-05,IntegratedGradients
Erlotinib,0,,cnv,HKR1,3.4434943e-05,IntegratedGradients
Erlotinib,0,,cnv,RNF19A,3.6897392e-05,IntegratedGradients
Erlotinib,0,,cnv,RBMY1A3P,1.7259386e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR298,2.2257904e-05,IntegratedGradients
Erlotinib,0,,cnv,GNAS-AS1,2.0310394e-05,IntegratedGradients
Erlotinib,0,,cnv,NPEPL1,2.0980899e-05,IntegratedGradients
Erlotinib,0,,cnv,STX16,2.3821063e-05,IntegratedGradients
Erlotinib,0,,cnv,LOC100506384,1.5610342e-05,IntegratedGradients
Erlotinib,0,,cnv,APCDD1L-DT,2.0682532e-05,IntegratedGradients
Erlotinib,0,,cnv,RAB22A,2.664399e-05,IntegratedGradients
Erlotinib,0,,cnv,APCDD1L,2.4774683e-05,IntegratedGradients
Erlotinib,0,,cnv,VAPB,2.3029506e-05,IntegratedGradients
Erlotinib,0,,cnv,BCAS4,2.580883e-05,IntegratedGradients
Erlotinib,0,,cnv,PARD6B,2.131258e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC00494,1.957205e-05,IntegratedGradients
Erlotinib,0,,cnv,ZNF217,2.334482e-05,IntegratedGradients
Erlotinib,0,,cnv,SUMO1P1,2.0906724e-05,IntegratedGradients
Erlotinib,0,,cnv,DOK5,1.5182258e-05,IntegratedGradients
Erlotinib,0,,cnv,GNAS,3.3337416e-05,IntegratedGradients
Erlotinib,0,,cnv,SULF2,2.2715807e-05,IntegratedGradients
Erlotinib,0,,cnv,BCAS1,2.3383473e-05,IntegratedGradients
Erlotinib,0,,cnv,PPP4R1L,1.8329403e-05,IntegratedGradients
Erlotinib,0,,cnv,BMP7,1.8490604e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR4756,1.8199737e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM209B,2.1812908e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM209A,2.3157614e-05,IntegratedGradients
Erlotinib,0,,cnv,CSTF1,2.3783341e-05,IntegratedGradients
Erlotinib,0,,cnv,CASS4,2.083931e-05,IntegratedGradients
Erlotinib,0,,cnv,AURKA,2.2881411e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM210B,1.6094891e-05,IntegratedGradients
Erlotinib,0,,cnv,ADNP,2.3456387e-05,IntegratedGradients
Erlotinib,0,,cnv,GCNT7,2.2158318e-05,IntegratedGradients
Erlotinib,0,,cnv,RIPOR3,2.8440827e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR645,2.133771e-05,IntegratedGradients
Erlotinib,0,,cnv,RTF2,2.9880483e-05,IntegratedGradients
Erlotinib,0,,cnv,PREX1,2.8066152e-05,IntegratedGradients
Erlotinib,0,,cnv,NCOA3,2.278136e-05,IntegratedGradients
Erlotinib,0,,cnv,LOC100131496,2.0064293e-05,IntegratedGradients
Erlotinib,0,,cnv,DPM1,2.4636547e-05,IntegratedGradients
Erlotinib,0,,cnv,CYP24A1,1.39549375e-05,IntegratedGradients
Erlotinib,0,,cnv,ATP9A,2.1515662e-05,IntegratedGradients
Erlotinib,0,,cnv,MOCS3,2.0285042e-05,IntegratedGradients
Erlotinib,0,,cnv,PFDN4,1.8672083e-05,IntegratedGradients
Erlotinib,0,,cnv,PMEPA1,2.0152604e-05,IntegratedGradients
Erlotinib,0,,cnv,KCNG1,2.9825098e-05,IntegratedGradients
Erlotinib,0,,cnv,ZBP1,2.3236029e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR4325,2.348407e-05,IntegratedGradients
Erlotinib,0,,cnv,MTRNR2L3,2.1205586e-05,IntegratedGradients
Erlotinib,0,,cnv,RAE1,1.9319272e-05,IntegratedGradients
Erlotinib,0,,cnv,SPO11,2.0915444e-05,IntegratedGradients
Erlotinib,0,,cnv,PCK1,2.2441347e-05,IntegratedGradients
