sample_id,variable,class_label,probability,known_label,predicted_label,split,method
Hep-G2/C3A,Erlotinib,,,0.020205803215503693,0.054361991584300995,train,DirectPred
A-253,Erlotinib,,,0.11193941533565521,0.07853756099939346,train,DirectPred
GCIY,Erlotinib,,,0.16549909114837646,0.09711596369743347,train,DirectPred
COLO 684,Erlotinib,,,,0.05321729555726051,train,DirectPred
NCI-H854,Erlotinib,,,,0.03150652348995209,train,DirectPred
SNU-C2A,Erlotinib,,,0.09475236386060715,0.0789652019739151,train,DirectPred
KE-39,Erlotinib,,,0.1750926673412323,0.05959451198577881,train,DirectPred
YAPC,Erlotinib,,,,0.06095752865076065,train,DirectPred
HCC366,Erlotinib,,,,0.09720826894044876,train,DirectPred
KM12,Erlotinib,,,,0.04517719894647598,train,DirectPred
OUMS-27,Erlotinib,,,,0.030290380120277405,train,DirectPred
Hs 751.T,Erlotinib,,,,0.030493512749671936,train,DirectPred
LS123,Erlotinib,,,0.06874532997608185,0.06283572316169739,train,DirectPred
Peer,Erlotinib,,,,0.04178514704108238,train,DirectPred
MOTN-1,Erlotinib,,,,0.022083915770053864,train,DirectPred
A-498,Erlotinib,,,,0.03904373571276665,train,DirectPred
H4,Erlotinib,,,0.030391791835427284,0.058322474360466,train,DirectPred
PL-21,Erlotinib,,,,0.038706421852111816,train,DirectPred
OE21,Erlotinib,,,0.3437134325504303,0.06426259875297546,train,DirectPred
M-07e,Erlotinib,,,,0.03730695694684982,train,DirectPred
SUP-T11,Erlotinib,,,,0.06484147906303406,train,DirectPred
B-CPAP,Erlotinib,,,0.026610318571329117,0.05912477523088455,train,DirectPred
Hs 274.T,Erlotinib,,,,0.03833688795566559,train,DirectPred
LN-18,Erlotinib,,,0.06571833789348602,0.05930182337760925,train,DirectPred
SU.86.86,Erlotinib,,,0.05526959151029587,0.06663010269403458,train,DirectPred
PK-1,Erlotinib,,,0.09488140046596527,0.07821924984455109,train,DirectPred
RERF-LC-A1,Erlotinib,,,0.039469145238399506,0.04352840036153793,train,DirectPred
SK-MEL-24,Erlotinib,,,0.017442068085074425,0.03363411873579025,train,DirectPred
L3.3,Erlotinib,,,0.12835821509361267,0.10051918029785156,train,DirectPred
Hs 695T,Erlotinib,,,0.0027959689032286406,0.03325144201517105,train,DirectPred
Rh41,Erlotinib,,,,0.06668532639741898,train,DirectPred
Toledo,Erlotinib,,,0.0,0.05621059983968735,train,DirectPred
MDA-MB-453,Erlotinib,,,0.02901134081184864,0.1083267331123352,train,DirectPred
U2OS,Erlotinib,,,0.04493655636906624,0.0298004150390625,train,DirectPred
Lu-99A,Erlotinib,,,0.09351128339767456,0.12365227937698364,train,DirectPred
NCI-H2029,Erlotinib,,,,0.10120733827352524,train,DirectPred
NCI-H2126,Erlotinib,,,,0.046450305730104446,train,DirectPred
HEL,Erlotinib,,,,0.05561663210391998,train,DirectPred
HCC1569,Erlotinib,,,0.006881309673190117,0.04655355215072632,train,DirectPred
SK-MES-1,Erlotinib,,,0.27235737442970276,0.05682764947414398,train,DirectPred
OCI-AML-2,Erlotinib,,,0.02965749055147171,0.02853427454829216,train,DirectPred
Panc 05.04,Erlotinib,,,,0.0602588951587677,train,DirectPred
DM-3,Erlotinib,,,,0.03852631524205208,train,DirectPred
MHH-CALL-2,Erlotinib,,,,0.02786160260438919,train,DirectPred
EN,Erlotinib,,,0.00819708313792944,0.04839438945055008,train,DirectPred
NCI-H2172,Erlotinib,,,,0.06357493996620178,train,DirectPred
NCI-H524,Erlotinib,,,,0.06246093288064003,train,DirectPred
NCI-H1693,Erlotinib,,,0.19644658267498016,0.061510346829891205,train,DirectPred
NCI-H2405,Erlotinib,,,,0.03408908098936081,train,DirectPred
SW1417,Erlotinib,,,0.011907773092389107,0.06112189590930939,train,DirectPred
MHH-CALL-4,Erlotinib,,,,0.053827933967113495,train,DirectPred
Capan-1,Erlotinib,,,,0.06065091863274574,train,DirectPred
HCT 15,Erlotinib,,,0.051358070224523544,0.06310898810625076,train,DirectPred
JVM-2,Erlotinib,,,,0.03080262616276741,train,DirectPred
SNU-878,Erlotinib,,,,0.035707470029592514,train,DirectPred
UACC-257,Erlotinib,,,0.004973747301846743,0.060234434902668,train,DirectPred
NCI-H2347,Erlotinib,,,,0.059506889432668686,train,DirectPred
LMSU,Erlotinib,,,,0.054462358355522156,train,DirectPred
OCI-AML-3,Erlotinib,,,,0.0651889517903328,train,DirectPred
NCI-H2066,Erlotinib,,,,0.06046130880713463,train,DirectPred
AM-38,Erlotinib,,,,0.04764657840132713,train,DirectPred
HEC-1-A,Erlotinib,,,0.002704528858885169,0.042565420269966125,train,DirectPred
1321N1,Erlotinib,,,0.05883492901921272,0.09324311465024948,train,DirectPred
JHH-4,Erlotinib,,,0.05468062683939934,0.06984156370162964,train,DirectPred
SW48,Erlotinib,,,0.3432353436946869,0.06110421195626259,train,DirectPred
BICR 18,Erlotinib,,,,0.035667236894369125,train,DirectPred
KMS-21-BM,Erlotinib,,,,0.056438833475112915,train,DirectPred
SF295,Erlotinib,,,0.054866135120391846,0.036276087164878845,train,DirectPred
NCI-H1299,Erlotinib,,,0.06268586218357086,0.04732585698366165,train,DirectPred
NCI-H1666,Erlotinib,,,0.37953415513038635,0.06446227431297302,train,DirectPred
JHH-6,Erlotinib,,,0.013065235689282417,0.05000840499997139,train,DirectPred
Hs 839.T,Erlotinib,,,,0.04739834740757942,train,DirectPred
TM-31,Erlotinib,,,,0.04546316713094711,train,DirectPred
OAW28,Erlotinib,,,,0.07479332387447357,train,DirectPred
HRT-18,Erlotinib,,,,0.0691046267747879,train,DirectPred
SU-DHL-1,Erlotinib,,,,0.08570249378681183,train,DirectPred
MDA-MB-175-VII,Erlotinib,,,0.15721262991428375,0.06765647232532501,train,DirectPred
UT-7,Erlotinib,,,,0.05716244503855705,train,DirectPred
CPC-N,Erlotinib,,,,0.03981650620698929,train,DirectPred
BDCM,Erlotinib,,,0.013226781040430069,0.0291823111474514,train,DirectPred
SNU-C1,Erlotinib,,,,0.06144605949521065,train,DirectPred
NCI-H1373,Erlotinib,,,0.04716647043824196,0.033642835915088654,train,DirectPred
KMS-34,Erlotinib,,,0.006456402130424976,0.02891799993813038,train,DirectPred
OELE,Erlotinib,,,,0.03751588240265846,train,DirectPred
T3M-4,Erlotinib,,,,0.0991211012005806,train,DirectPred
CAL-120,Erlotinib,,,,0.07412697374820709,train,DirectPred
NCI-H1355,Erlotinib,,,0.170404314994812,0.0720471516251564,train,DirectPred
DEL,Erlotinib,,,0.037769198417663574,0.03677283227443695,train,DirectPred
HEC-50B,Erlotinib,,,,0.03920583054423332,train,DirectPred
MDA-MB-134-VI,Erlotinib,,,,0.027915015816688538,train,DirectPred
SW1271,Erlotinib,,,0.01700293831527233,0.06653209775686264,train,DirectPred
SW579,Erlotinib,,,0.01684611104428768,0.07599454373121262,train,DirectPred
JHH-7,Erlotinib,,,0.06400319188833237,0.054803382605314255,train,DirectPred
HuT 78,Erlotinib,,,0.0,0.01978950947523117,train,DirectPred
Panc 03.27,Erlotinib,,,0.06275393068790436,0.05871791020035744,train,DirectPred
LUDLU-1,Erlotinib,,,0.21479026973247528,0.06598562002182007,train,DirectPred
SNU-1196,Erlotinib,,,,0.03266390785574913,train,DirectPred
Hs 936.T,Erlotinib,,,0.014631255529820919,0.051977500319480896,train,DirectPred
TT2609-C02,Erlotinib,,,0.07642944157123566,0.0559895858168602,train,DirectPred
KYM-1,Erlotinib,,,0.0,0.03031182289123535,train,DirectPred
SLR26,Erlotinib,,,,0.04779784381389618,train,DirectPred
U-118MG,Erlotinib,,,0.007053320296108723,0.0388118177652359,train,DirectPred
EBC-1,Erlotinib,,,0.04547259956598282,0.05222126841545105,train,DirectPred
COLO 741,Erlotinib,,,0.1051330491900444,0.1259629726409912,train,DirectPred
SCC-25,Erlotinib,,,,0.07975313812494278,train,DirectPred
COV644,Erlotinib,,,,0.029051870107650757,train,DirectPred
COLO 783,Erlotinib,,,,0.0404077023267746,train,DirectPred
T.T,Erlotinib,,,,0.08474065363407135,train,DirectPred
YH-13,Erlotinib,,,,0.02224726602435112,train,DirectPred
MHH-ES-1,Erlotinib,,,0.08771762996912003,0.06645427644252777,train,DirectPred
HCC95,Erlotinib,,,,0.029177721589803696,train,DirectPred
A-172,Erlotinib,,,0.020002657547593117,0.057714663445949554,train,DirectPred
HLF,Erlotinib,,,0.019748220220208168,0.06587933748960495,train,DirectPred
HL-60,Erlotinib,,,,0.029312413185834885,train,DirectPred
HCC1171,Erlotinib,,,,0.03986087441444397,train,DirectPred
D283 Med,Erlotinib,,,,0.03663734719157219,train,DirectPred
ECC12,Erlotinib,,,,0.07485800981521606,train,DirectPred
TE-6,Erlotinib,,,,0.12368419021368027,train,DirectPred
U-937,Erlotinib,,,0.051928505301475525,0.04754101485013962,train,DirectPred
NCI-H838,Erlotinib,,,,0.09640395641326904,train,DirectPred
EFM-192A,Erlotinib,,,,0.04113730788230896,train,DirectPred
SW1116,Erlotinib,,,,0.055444926023483276,train,DirectPred
COR-L23,Erlotinib,,,0.00965084321796894,0.07985642552375793,train,DirectPred
SK-HEP-1,Erlotinib,,,0.022565459832549095,0.05244109407067299,train,DirectPred
Hs 600.T,Erlotinib,,,,0.030461445450782776,train,DirectPred
ABC-1,Erlotinib,,,,0.06891391426324844,train,DirectPred
A101D,Erlotinib,,,,0.03031555935740471,train,DirectPred
SNU-478,Erlotinib,,,,0.05563165992498398,train,DirectPred
Hs 939.T,Erlotinib,,,0.018996980041265488,0.046913471072912216,train,DirectPred
SNU-520,Erlotinib,,,,0.052890196442604065,train,DirectPred
SU-DHL-10,Erlotinib,,,0.0,0.04724143445491791,train,DirectPred
SW1353,Erlotinib,,,0.004265821073204279,0.06234448403120041,train,DirectPred
GOS-3,Erlotinib,,,,0.09414428472518921,train,DirectPred
NCI-H650,Erlotinib,,,0.005011194851249456,0.06236518546938896,train,DirectPred
NALM-6,Erlotinib,,,,0.03652667626738548,train,DirectPred
HEC-151,Erlotinib,,,0.24379590153694153,0.07057518512010574,train,DirectPred
CAS-1,Erlotinib,,,0.00462641566991806,0.052327707409858704,train,DirectPred
Hs 604.T,Erlotinib,,,,0.029361706227064133,train,DirectPred
KALS-1,Erlotinib,,,0.03612568601965904,0.07768823206424713,train,DirectPred
NCI-H1694,Erlotinib,,,0.0,0.06345692276954651,train,DirectPred
OUMS-23,Erlotinib,,,,0.0808134600520134,train,DirectPred
SNU-840,Erlotinib,,,,0.09583812952041626,train,DirectPred
EPLC-272H,Erlotinib,,,,0.04006988927721977,train,DirectPred
UM-RC-2,Erlotinib,,,,0.03658466041088104,train,DirectPred
CAL-29,Erlotinib,,,,0.03093763068318367,train,DirectPred
SK-ES-1,Erlotinib,,,0.06832186132669449,0.043448880314826965,train,DirectPred
NCI-H322,Erlotinib,,,0.30578410625457764,0.14252182841300964,train,DirectPred
NCI-H1876,Erlotinib,,,,0.06244191527366638,train,DirectPred
HPAC,Erlotinib,,,0.06448940932750702,0.062009770423173904,train,DirectPred
SNU-489,Erlotinib,,,,0.04810076579451561,train,DirectPred
RD,Erlotinib,,,0.002177261747419834,0.04645780473947525,train,DirectPred
SEM,Erlotinib,,,,0.027509190142154694,train,DirectPred
COLO 800,Erlotinib,,,,0.060294993221759796,train,DirectPred
NCI-H2286,Erlotinib,,,0.09505584090948105,0.0583098940551281,train,DirectPred
SW948,Erlotinib,,,,0.048552222549915314,train,DirectPred
KYSE-140,Erlotinib,,,0.2900695502758026,0.12994281947612762,train,DirectPred
Loucy,Erlotinib,,,,0.05424819141626358,train,DirectPred
NCI-H1437,Erlotinib,,,,0.06330995261669159,train,DirectPred
UACC-893,Erlotinib,,,,0.05688188597559929,train,DirectPred
IGR-37,Erlotinib,,,0.03262731060385704,0.038197409361600876,train,DirectPred
MIA PaCa-2,Erlotinib,,,0.015134925954043865,0.09443654865026474,train,DirectPred
NCI-H661,Erlotinib,,,0.0029913890175521374,0.07438898086547852,train,DirectPred
Ri-1,Erlotinib,,,,0.03855539858341217,train,DirectPred
NCI-H747,Erlotinib,,,0.08544382452964783,0.06384893506765366,train,DirectPred
ACC-MESO-1,Erlotinib,,,,0.033289648592472076,train,DirectPred
A2058,Erlotinib,,,0.020316431298851967,0.04912838339805603,train,DirectPred
SNU-46,Erlotinib,,,,0.031191054731607437,train,DirectPred
