,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127
SK-OV-3,1.4990432,-0.42037576,1.0310597,-2.5570705,0.12916753,1.3268472,0.1395616,1.8361021,-0.701104,-0.19516706,-0.4741126,0.073131084,0.8441074,-0.40384385,-0.96357435,0.39614254,-2.4395318,0.2979841,-0.30980977,0.7973888,-0.9272956,-0.57993394,-0.34388685,-1.9784257,-1.0603836,-0.98226917,-0.5290421,-1.2031077,-1.283407,0.24243104,1.0496346,-1.4359193,0.90023756,0.067475215,-0.23894505,-0.39423826,1.6866993,1.177864,-1.2139956,0.42328978,-0.6869466,-0.38232976,-0.5154711,-0.07537176,0.6077439,-0.7550552,0.3192662,-0.8609152,0.7420332,1.9067051,0.40229118,0.4152986,-0.503237,-0.0011398792,-0.0865598,0.04365293,1.1420535,0.52361155,0.043751355,0.33642566,0.4264781,-0.21302912,-1.3375684,0.46181473,-1.3389482,-0.25698507,0.42328924,0.10040726,-2.1932669,0.23315081,-1.1444235,0.6505419,0.70388395,1.2897557,0.92261827,1.4303458,-0.74565876,0.5613605,1.6147484,1.0218744,-0.14996776,1.0349363,1.6888987,0.114793696,-0.16659722,-0.60748196,0.06471365,-0.10170938,-0.74629194,0.16229817,0.22986451,0.26927584,1.1272482,-1.1093781,-0.5236938,-0.5764084,0.45624906,-1.4936485,1.3781545,-0.2726021,-1.0201098,0.4129545,-0.16889328,-1.0194116,-1.2666008,0.6627375,-0.55329084,0.69781977,-0.71250117,-2.101269,-0.4169367,-0.11943574,-0.18999834,-0.11174901,-1.0347093,-1.57257,0.82760423,0.36895186,0.20896026,0.95840687,-2.3227766,-0.26405504,-0.11159844,0.86216563,0.6863766,0.47159985,0.065323636,0.032681372
JeKo-1,0.6479533,-0.55813533,-0.40360487,-0.58207667,-0.26399198,0.30411607,-0.0825322,0.016643625,0.10415788,-0.03180258,-0.439015,-0.16159669,0.08718638,0.0711674,0.5521139,-0.44671306,-0.24206936,0.17352456,-0.12408042,-0.3557654,-0.3182736,-0.24250416,-0.52194643,0.466895,-0.114790104,-0.3311931,-0.1458717,0.23483893,-0.5319868,0.07817149,-0.23369166,-0.31522465,0.13600202,0.31012917,-0.01910618,0.6572165,-0.16181909,0.19030595,0.32639155,0.47476047,-0.15486912,-0.13310835,0.075803176,-0.6659464,0.35154578,-0.37901717,0.49271494,0.06874056,0.6036348,0.03768284,-0.39647192,0.16536954,-0.23418203,-0.13127515,0.49733436,0.063225396,-0.26322854,0.70040095,-0.2769158,-0.03328996,-0.08733692,-0.12723662,-0.69932455,0.27214283,-0.038247645,0.7110791,0.05600253,0.17722808,0.3115967,0.5048275,0.22710228,-0.21348839,0.053918872,-0.10256589,0.5291062,-0.1611818,-0.3543455,0.08910183,0.5430747,0.37159345,-0.71970326,0.35194477,-0.045948163,-0.084469624,-0.2570777,0.43048254,0.660526,-0.43107104,-0.17394166,0.12595262,0.13707653,0.25639597,-0.37074098,-0.14401466,0.1112216,0.087932706,0.33190328,0.17924674,-0.002272562,0.3307974,0.31316736,-0.015496016,-0.42763242,0.0029429048,0.37336805,-0.49898538,-0.087381005,-0.048081905,-0.0862453,-0.41278392,-0.07495739,0.10531457,-0.17815115,0.12102867,-0.49218494,-0.44052058,-0.059149623,0.13033016,-0.23084357,0.27518502,-0.3843058,0.33079308,-0.25826475,0.80383444,-0.119503096,0.010405362,0.022764115,-0.0796783
L-540,0.24530007,-0.82598805,0.08943258,-0.70538074,-0.2421603,0.40996972,0.08981556,0.48521662,-0.011371758,0.3031294,-0.014178616,0.03185551,0.031097949,0.5051446,0.75685316,-0.3513451,-0.14051509,0.62885225,0.32368737,0.056769792,-0.4692311,0.06446317,-0.037689872,1.0387996,0.14140475,-0.2903235,-0.18144552,1.2207059,-1.0594496,-0.28966662,-0.051858667,0.07743251,0.6876431,0.029072516,-0.1108513,0.84575176,-0.3417104,0.21864751,0.38113722,0.369965,-0.23610777,-0.4315868,-0.122390315,-0.54430383,4.3986365e-06,-0.6406842,0.26510736,0.36622995,1.0150331,-0.22300532,-0.71203077,0.3931716,-0.28470856,0.41743246,-0.100562654,0.013655655,-0.9775525,0.5145476,0.9771658,-0.45054165,0.12731634,0.45740098,0.07735075,0.1617961,-0.32859495,0.73857194,-0.52725375,0.26829475,0.5572808,0.094062835,-0.17097427,-0.043721575,-0.045648318,-0.2087329,0.66704684,0.9467944,0.1279085,0.83782834,0.028074093,1.1210409,-0.44810706,-0.04299511,0.0048097223,-0.20417175,0.29492164,0.8098655,0.5852884,-1.0107931,0.3073805,0.2547702,-0.03331489,0.20822977,-1.0275171,-0.22723188,0.58573955,-0.1616694,0.21874996,-0.089311056,0.2554082,-0.14674324,-0.12185213,-0.12918101,-0.7694423,0.16719668,0.9836287,-0.09920941,-0.042818177,-0.768877,-0.22409296,-0.095770404,0.09031447,0.972948,-0.15030546,-0.032321513,-0.55582285,-0.31082088,0.65641165,-0.39587373,-0.14848875,0.24506456,-0.2494572,-0.078415126,-0.123512276,0.7589338,0.30429563,0.09035927,-0.03236278,-0.4878092
Karpas-299,0.4047443,-0.45959905,-0.68242925,-0.14285392,-0.039656937,0.24908501,-0.046862934,-0.018213337,-0.21172513,0.093316406,-0.6131263,-0.10233973,-0.23689316,0.011476155,0.41692024,-0.19851968,-0.23008798,0.2668398,-0.29162192,-0.4076839,-0.05964002,-0.26306203,0.07842135,0.38087356,0.005307503,-0.043859296,-0.21654096,-0.12609988,-0.38493368,0.20856738,0.040809557,-0.1096006,-0.1218934,0.14769918,0.11127402,0.33903143,-0.17389396,0.023117214,0.26973283,-0.026441198,0.09803134,-0.0371122,0.046023186,-0.5138835,0.10031799,0.0382578,0.23382771,0.028494142,0.3634077,-0.020789398,0.13169533,-0.060414683,-8.2913786e-05,-0.10272591,0.39493084,-0.049273007,-0.196605,0.40958342,0.0062535163,0.07263584,-0.2768555,-0.40264308,-0.5761207,0.14844587,0.08117676,0.15058768,0.12187296,0.06546137,-0.11415199,0.02585084,0.31924784,0.018486273,-0.010161665,-0.30462018,0.10952569,-0.17567956,-0.31663033,-0.12714936,-0.11923267,0.2331381,-0.5157933,0.3983131,0.10441429,-0.1455624,-0.27568147,0.36371446,0.43657443,-0.332895,-0.19035274,-0.08799284,-0.1783505,0.29686034,-0.26639992,0.11762561,-0.015887275,0.019825231,-0.10923059,0.14474075,-0.13854508,0.39651597,0.40435898,0.13167214,-0.3061169,0.18826939,0.25187635,-0.3132969,0.19058825,0.0056199105,0.091587275,-0.08722012,0.13298252,-0.03979144,-0.31737095,-0.124355786,-0.09699509,-0.4037823,-0.16972402,-0.05094319,-0.19810636,0.20818773,-0.23598331,0.19248994,-0.25064096,0.6460444,-0.17377949,0.024080623,-0.23444088,-0.29992476
MDA-MB-175-VII,0.39726096,-0.4553028,-0.6836334,-0.12045555,-0.010585151,0.2561498,-0.025619164,-0.017454287,-0.21986073,0.15290555,-0.6123194,-0.11188715,-0.26348925,0.12081613,0.4410255,-0.21859616,-0.27648214,0.30276102,-0.28958064,-0.38690323,-0.04701107,-0.21756224,0.06049942,0.4229183,0.07627918,-0.0425216,-0.17606963,-0.11688416,-0.3933165,0.130699,-0.027414165,-0.05917482,-0.09404953,0.14836183,0.098516,0.36490822,-0.2067089,-0.03712949,0.2690977,-0.014163046,0.16556588,-0.1788608,0.038017806,-0.5276365,0.09333124,0.034937285,0.09180603,0.019369993,0.32650715,-0.044868156,0.12758067,-0.04439082,0.06304249,0.054655705,0.42723048,-0.13231313,-0.16962132,0.4059555,0.017211448,0.072300196,-0.20963198,-0.26897818,-0.5945728,0.10967201,0.092498705,0.18192165,0.16728735,0.005928358,-0.10947813,0.031902328,0.26654327,0.012320317,-0.0131267095,-0.31453672,0.10133498,-0.20886062,-0.26593006,-0.10865049,-0.11805977,0.28461415,-0.56968457,0.4927294,0.122460276,-0.07812408,-0.27748254,0.40339893,0.46402815,-0.2640698,-0.2295638,-0.065359294,-0.15429538,0.24370186,-0.26640996,0.11138963,-0.013438578,0.11573816,0.11664264,0.1707898,-0.13936362,0.3794803,0.4388109,0.110553846,-0.2961301,0.10278829,0.2516754,-0.29953906,0.21720254,-0.0059057805,0.14960909,-0.36211863,0.11199351,-0.058537275,-0.3880473,-0.09716176,-0.08197519,-0.40625498,-0.16726133,-0.086551994,-0.1648954,0.21103647,-0.2062011,0.24314961,-0.21805769,0.6255722,-0.28559238,0.066180155,-0.21569887,-0.3206653
NCI-H2029,0.45561072,-0.37502542,-0.68225634,-0.13357198,0.004727481,0.2591631,-0.030854858,-0.04713834,-0.19641526,0.09366375,-0.6122134,-0.11277561,-0.20214483,0.052254107,0.41423434,-0.20193626,-0.25393453,0.3440733,-0.29058215,-0.38972667,-0.051089182,-0.2942808,0.08357721,0.3980704,0.12559643,-0.045687433,-0.20244643,-0.11892682,-0.40173006,0.18510798,0.02280903,-0.09687804,-0.11606785,0.147978,0.09016492,0.3553218,-0.17267635,0.07613905,0.26929528,-0.022840805,0.21565309,0.10990296,0.03496281,-0.50613636,0.094373055,0.09651698,0.10715614,-0.00781507,0.3750917,-0.0055154804,0.12176815,0.012407892,-0.07902256,0.06656851,0.42329866,0.012050606,-0.20376725,0.35326087,0.012741819,0.072199024,-0.38188016,-0.3210053,-0.58481055,0.16541426,0.12906083,0.20910329,0.1609251,0.05341173,-0.11196986,0.026553651,0.17822835,0.08404963,-0.008666421,-0.32790205,0.114198856,-0.20041983,-0.29155183,-0.11786914,-0.11771805,0.09810913,-0.55891615,0.45415,0.09037346,-0.23631547,-0.25576812,0.29240945,0.4900737,-0.26587892,-0.27994084,-0.09522188,-0.16862966,0.21988621,-0.26640552,0.14590093,-0.014727546,0.063992865,0.26423752,0.22159252,-0.10971277,0.29826495,0.4150858,0.14314932,-0.30310938,0.3829993,0.25099942,-0.30917668,0.16809718,0.00759794,0.12529111,-0.10213594,0.30208504,-0.017509777,-0.32397893,-0.11770574,-0.1167043,-0.40307003,-0.12493707,0.022130463,-0.1900199,0.21380933,-0.26872912,0.1976412,-0.24602386,0.65009165,-0.29757395,0.03933429,-0.2243547,-0.40209904
NCI-H650,-0.07334935,0.05197954,0.5174918,1.3269079,0.47767806,-0.91895455,0.12164812,0.09633779,-0.056116715,-0.26916537,0.06877933,0.36064515,-0.34695336,0.06188545,1.019855,0.18575983,1.1926045,0.19183117,0.42113727,-0.013431657,0.3787052,-0.3812707,0.0660381,0.91754663,0.8532803,0.30404222,0.83887243,0.86501,0.0460708,-0.058556624,-0.50462747,0.36108887,0.275657,-0.3228354,0.07365474,0.2598386,-0.58895695,-0.18386614,-0.1843988,-1.3002493,0.12235767,-0.15899704,-0.50794727,0.6196635,0.42367235,0.31692603,-0.19018035,0.8782705,1.1789675,-0.605222,-0.8149473,-0.59988165,0.031396423,0.89965075,-1.1688465,-0.294929,-1.5653174,-0.18743016,0.7077776,0.6223238,0.98513645,0.231915,0.075776026,-0.77179414,-0.12129395,0.5216836,-0.18747212,0.19690283,0.044185564,-0.14735357,-0.18526274,-0.33097297,-1.455352,-0.00044574589,0.35049462,0.1561999,0.65541977,0.6887948,-0.57811606,0.041607298,-0.6444638,-0.27694345,-0.015531704,-0.86653084,-0.12583864,0.328205,0.03977433,-0.031112924,0.45103773,0.6072156,0.7586573,-0.10001817,-1.0263783,-0.2544244,0.05676332,-0.11101795,0.8191795,-1.0953016,-0.37357736,-0.10598017,-0.9998257,-0.2918104,0.11275805,-0.24005073,-0.039447404,-0.55485535,0.3205504,0.0034263353,0.14151266,-0.25768575,0.44699448,0.6240957,-0.7058968,-0.11881075,-0.0048344433,-0.3039956,0.2129047,-0.32620752,0.0017748512,0.06681969,0.58669585,-0.8068097,0.15015191,0.9401384,0.33108768,1.1397654,0.2811568,-0.4302954
SNU-387,0.1516373,-0.7714932,-1.6382715,-0.61248976,-0.27557588,1.358994,-0.14014225,0.297697,-0.6858928,1.1188613,-1.0811619,-0.19548771,-0.58311796,0.690235,-0.090964176,-0.2898265,-1.5211846,1.2193425,-0.7377186,-0.12570128,-0.4038321,0.32184058,1.1404297,0.51759535,0.21757215,0.030477567,-0.594304,-0.18132746,-0.9528824,-0.018033816,0.51556766,0.12859662,-0.7921219,0.050240543,0.20531622,0.07295369,-0.29219723,0.012380451,1.0714302,0.19998662,0.29686442,-0.32753217,0.40981135,-1.4942436,-0.5871954,0.25491336,-0.120371126,-0.21605034,-0.23248646,0.28326264,0.9481448,0.83544266,-0.38359922,-0.43780664,0.9798749,-0.08135408,0.0378837,0.5288841,0.9533643,-0.32985967,-1.1556273,-0.38069695,-0.42981383,0.7319852,0.37374568,-0.759122,0.2992925,-0.21969816,-0.34497157,-0.74259603,0.30538577,0.5564402,0.59471303,-0.96741205,-0.105384395,-1.1073562,-0.45244455,-0.14181481,-1.1022809,0.83578026,-0.44509524,0.7790045,0.7405903,0.21674111,0.04316518,1.2873572,1.0086802,-0.67170817,-0.25125167,-0.72834337,-1.2866265,0.4081424,-0.35088873,0.7865561,-0.21108007,0.3850579,-0.9950409,1.2950469,-0.2623806,0.66341084,1.8946259,0.6418785,-0.8001126,0.52447885,1.0775753,0.5482148,0.13661984,-1.085862,0.098381944,0.1625517,0.72778535,0.028762493,-0.020675287,-0.20212969,0.015135001,-0.35665584,-0.16722602,-0.37947488,-0.52067846,0.038759567,-0.6478968,0.9254618,-0.5581878,0.34971416,-0.7597574,-0.86605006,-1.0023322,-0.77616334
LOX-IMVI,0.6289994,0.3032864,1.1665382,-1.2770209,0.018045057,0.46127358,-0.17198288,1.9163464,0.030825265,0.14971559,-0.021734854,0.32187253,0.84097326,0.18138276,-0.8984883,0.6759162,-1.3066385,0.8283575,0.087713145,1.2932953,-0.8101536,-0.02634703,0.40911856,-1.2188061,-0.18707263,-0.9302172,1.1563472,0.5850756,-0.54355186,-0.14569244,0.6623379,-0.8443004,-0.0005248748,-0.40378788,-0.5289491,-0.88803786,0.886465,0.59602994,-0.80823123,-0.54557395,-0.44483253,-0.83025753,-0.35075945,-0.11047723,0.82338196,-0.8145,-0.32488093,0.38697624,0.3843936,1.5106457,0.18383664,0.54645,-0.6711633,0.6316167,-1.2727145,-0.38182753,0.20546173,0.29156467,0.9906572,0.73807997,0.4636417,0.5308655,-0.49652627,-0.6752109,-1.6330179,-0.6760085,0.20616291,0.3979023,-1.4488343,-0.08187597,-1.3533622,0.018814482,-0.5904995,1.8530612,1.4541724,1.7036316,0.606751,2.0261745,0.47317982,1.070962,-0.7085248,-0.1449953,2.2160664,-0.065382674,-0.037132334,0.5415525,0.5223723,-0.32986125,0.812442,0.8579139,0.39318106,-0.4826584,0.06169898,-0.977589,-0.09809933,0.457278,0.2727411,-1.5982163,0.14902079,-0.4883717,-0.9461718,0.03361011,-0.39173502,-0.51870894,-0.919574,1.5010477,-0.43885055,-0.5339985,-0.6318687,-1.833958,0.18039384,0.096525386,-0.25848547,0.4457,-0.8540305,-1.0790371,1.0357627,0.44943956,0.040490877,0.023923624,-1.245584,0.47624204,-0.15742718,1.1303654,0.9637964,0.54725105,-0.31929868,0.4139211
Raji,0.42455766,-0.4628017,-0.68270427,-0.13942029,-0.0776816,0.25344756,-0.029368317,-0.0025340132,-0.18979132,0.14912662,-0.6132121,-0.042250983,-0.23687293,-0.01504462,0.42671812,-0.20408915,-0.329983,0.24395053,-0.291096,-0.3749727,-0.13377233,-0.23335955,0.010280959,0.29959354,0.11142259,-0.046083402,-0.22157887,-0.10591448,-0.39087322,0.14667657,-0.008149296,-0.13479486,-0.13407667,0.14848231,0.09551183,0.35566285,-0.17988305,0.019735962,0.27764314,-0.014306176,0.243974,-0.0741564,0.035541188,-0.5266,0.103398114,0.08532721,0.082486846,0.03096305,0.34368634,-0.038911738,0.080487676,0.06588128,-0.00786436,0.15088792,0.4108085,-0.07885453,-0.20899722,0.36339566,0.015546199,0.07254691,-0.55516344,-0.30216676,-0.62150085,0.19477451,0.14012834,0.24323797,0.14139384,0.009730866,-0.117816836,0.02883537,0.106717356,-0.0180052,-0.006989781,-0.31262267,0.099907234,-0.20098768,-0.29435277,-0.11491955,-0.11808804,0.08235844,-0.51605695,0.4539138,0.07477822,-0.13998206,-0.2646066,0.39239267,0.4473623,-0.2796137,-0.23531272,-0.016255282,-0.114762105,0.2009309,-0.26640466,0.0791818,-0.011357883,0.06940472,-0.1928557,0.2168694,-0.09421677,0.33241162,0.42817184,0.12023447,-0.30661634,0.07919872,0.2513369,-0.36241207,0.2369178,-0.014178717,0.16256309,-0.12563658,0.083623454,-0.037757576,-0.38193968,-0.121968396,-0.05837218,-0.41526008,-0.16485095,-0.038188126,-0.21176039,0.20543617,-0.14652607,0.2087608,-0.2577346,0.67312425,-0.28950754,0.032776874,-0.23059684,-0.27656165
