,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98
YKG-1,-0.7169606,1.6946497,-0.79735804,-1.4843918,1.0062733,-1.0923194,0.00011046603,-0.12923345,-1.8428291,1.1659259,-0.7457311,-2.8270118,-0.5423365,-2.5569184,-0.6010081,0.06313503,1.4750986,0.21224602,-1.5194504,2.8002646,1.466289,-0.25273857,-1.8986088,0.87230325,-0.49816588,-0.10286303,-1.639101,-0.9615729,-2.5618567,-0.75885075,-3.6575873,-0.4729798,0.24489453,2.447725,0.3106717,-0.2839286,2.8441463,0.05384569,-1.3639073,-1.760788,1.4501678,-0.091806605,-0.9787515,-2.2185273,-0.10686089,1.1111925,1.2488632,-2.4476163,1.0223771,0.4265757,1.4643661,-0.07568912,2.363098,0.62123495,1.6164416,-0.9360981,3.0288334,-3.1127877,1.3813131,-0.8411492,-1.1300544,0.4245829,1.1360558,-0.48520073,-0.7219253,2.1156743,2.1283054,-0.16181682,-2.2131069,0.32802328,0.07138645,-1.1464763,1.4892825,-2.1300046,-0.7536654,-1.1197178,-1.9736608,-0.33079904,0.13470638,-1.4661797,-2.0298169,0.6638534,1.1037148,1.0695858,-0.7228971,-0.19699146,-0.8026838,-1.248017,1.9883147,3.0077095,-2.9856932,4.2101846,0.72966534,-0.7446411,0.1320951,-0.9289664,2.4002757,0.7694025,1.9059938
SU.86.86,-0.44542935,-1.7911216,0.72923553,-2.8170302,-3.8740888,2.9355257,-0.103728324,4.3689055,-1.1754719,-0.939614,1.3659303,-2.651334,-0.413067,0.71367484,1.043056,0.4566897,-0.6266098,-0.3867849,-0.56166923,-1.4386607,0.31985915,-2.3660853,-1.252427,-0.9605136,-2.650814,1.1044704,-1.4721502,1.0332725,-0.42467272,-2.673939,3.0691566,-2.3912702,1.7278023,-1.0455618,4.5892262,-1.685991,0.87385994,-2.2125897,-1.328011,1.4674594,-0.25716066,0.16653234,2.2362144,-0.020413257,-3.6667314,1.7155552,-0.66275865,1.6841441,0.79123175,0.21624376,1.3692685,0.29987347,0.6518037,-0.32623985,-1.0180895,0.19001433,-0.8493331,1.2766653,-1.4401308,-1.3785523,0.35902467,1.04595,-0.11036005,-1.7356225,1.587539,1.7268835,0.41913438,-0.6476853,-0.8963448,-2.491209,3.9635615,2.3024132,-0.46919024,-0.5340488,1.3871896,-0.06796697,0.68073535,-0.7048405,0.85598207,1.437804,2.4415967,-1.4625399,0.6502197,1.2577888,0.9528633,-3.0635066,-1.7877762,-0.02508039,-0.95048386,3.9231555,-1.9602152,-2.7740445,-0.058550693,-1.9521137,1.2492799,-1.7681346,-0.96902156,-0.4525364,1.9050294
Jurkat E6.1,1.7882545,-3.0769734,-0.007760048,-1.6441537,4.919604,-0.84681183,-1.9170979,1.7061248,0.72439265,2.0019867,-0.5349232,3.02548,-0.17389975,-0.12795782,0.300876,0.81358707,-3.8188314,-1.9185189,-2.0552363,-0.41409665,2.5315428,0.7129803,-0.9551454,-1.3981928,-0.53668374,-2.370158,-0.580696,1.0575414,-3.1307638,-3.483349,0.034406215,-0.66078997,-1.1176811,1.4134537,-0.07385434,1.9499441,-0.70802265,1.8683662,-2.1278744,-0.43729037,-1.5048609,2.7586482,1.4240633,-1.4815644,-0.6123857,-0.6842451,-0.14473239,0.06500259,-0.1639229,0.62810886,-0.73280835,0.35125118,3.1982071,-1.3313129,-0.7911374,0.68618286,-1.1295044,-1.6834108,1.1913815,1.5931647,2.2592778,-2.546108,-0.7766945,-0.6057865,0.36659917,-0.16924931,-1.8878665,-0.88396835,0.46119308,0.056739654,-0.3139954,0.6406559,-0.6875121,1.4179043,-0.16975138,-1.3032519,0.64864534,0.37040108,-1.175684,3.7603536,-0.33764225,-0.73826075,-2.3399093,2.6547902,0.95984566,2.2663777,0.89599144,3.4614143,-0.5559339,0.44251472,0.17869359,2.2464273,-0.19559559,0.41415393,3.0125015,-0.62710565,2.5976334,-3.413458,-1.5504162
NCI-H1755,0.40701523,0.054897137,-1.2316476,-1.1379883,-1.207947,0.37476087,0.6446826,1.3357767,1.1795346,0.31901166,-1.4321123,0.3613118,-2.2038019,0.9517204,0.5563948,-1.1611252,2.0574162,-2.6115615,-1.5017619,-1.1667099,-2.1128805,0.29133806,2.5106614,0.31633675,0.40229878,-1.6000464,0.075114444,0.06719677,-1.6962231,-2.029427,-2.3173103,2.0427291,0.49942073,-0.39399529,-1.5550662,-3.0518162,-1.1333495,-0.8012694,-0.89889663,1.2500646,-3.0133755,-0.939699,2.2296014,0.17093854,-2.3951457,0.94019395,0.8376827,0.5286927,-1.6700624,1.0720143,-0.56015736,0.1233611,-2.1519732,2.2560155,-0.8603197,0.51708734,1.5655341,1.405002,-0.3500629,0.8484187,0.15112123,0.32740784,-1.2817328,0.38949975,-0.5390031,0.7648972,-1.5791601,0.24208635,1.4615233,-3.0652997,0.98769194,0.33787626,1.7589504,-0.7821117,1.2469815,0.90560645,-1.1577572,1.6809828,-1.2126694,-0.12071153,0.09004231,-0.53680885,-0.26937327,0.799929,1.1613646,-0.14356788,1.7305793,-2.055571,1.2230179,1.1035182,-1.5227969,1.808209,2.3098736,1.8850614,-1.3368447,1.6277487,1.2697166,-0.15599553,0.33078918
KMRC-20,-4.647994,1.8497107,1.7629219,0.003413763,-0.37324288,1.9834223,0.08636787,-0.44079882,-0.937904,-0.21357794,0.009296086,-1.7269318,-0.22260459,-0.65386105,0.2934327,-2.691578,1.3682784,2.205718,-2.134715,1.1657851,-0.06801627,-2.8294375,0.33013055,-0.3514705,-1.3537316,1.357099,-0.823841,1.4553248,-0.4788623,-2.3742366,-0.07719606,2.452717,1.6201862,2.3970037,1.3837276,1.9361326,0.7481141,2.0772183,1.753124,0.37134966,0.20026904,-1.844984,0.9878976,2.6499982,-0.40286753,-1.6983502,-0.29151592,-2.131589,-0.76741207,-2.7656212,-0.02658284,-0.50512934,-1.3176726,0.493723,-0.38611975,0.08126146,-0.02587489,2.9005146,0.12270319,2.0757825,0.6448797,1.6643276,-0.98801863,2.8014894,-1.7137896,-1.8451103,-1.571883,1.3236601,-0.049238,-1.2824527,-0.24083517,-0.01964631,0.9414395,0.5725663,-0.7354254,-1.6224829,0.093599394,1.270025,1.1759334,-0.3321079,-1.0993917,0.059291746,0.74272096,0.701056,0.28220946,-1.2212574,0.5938799,1.4659214,1.5575186,0.83618134,-0.9902838,0.111532,1.5989997,-1.0708048,0.1151345,3.4353552,1.0692044,-3.2842557,0.79283524
LN-18,1.3352643,0.3516484,0.394222,0.4507865,0.051744215,0.30184495,0.34110332,-1.106126,-0.3382586,0.30657893,-0.11895256,0.10709626,-1.7238717,-1.6653662,0.47769353,-2.4276686,1.0797967,1.3050478,-1.0200965,0.3113099,1.095718,3.0870068,0.38764772,-0.04502336,-3.0134869,-0.2609863,0.84567356,-0.6589819,1.2833104,0.7140006,-1.2499609,-1.3103,1.0397495,0.280849,-2.5811362,-1.0213643,1.8418127,0.14501683,-0.52752167,0.27494812,0.46205768,-1.327877,0.7209686,0.51053494,0.31368095,0.46965888,0.72932416,0.9630543,0.95526403,1.6516186,-0.47195187,-1.0516484,-0.39196247,-1.4433713,-0.12423082,-0.53377914,0.63238204,-1.4167044,-0.7222138,0.08953172,-0.35642946,0.04437142,3.3611977,-1.3404164,-1.3147306,1.6020586,1.6643026,1.1310518,-0.028107867,-0.77234423,0.43184945,-0.5407034,0.3668067,-0.94831866,0.69473577,0.06626621,0.5467151,-1.7315793,0.07339931,-2.3934429,-1.5132093,-1.8777381,0.8552599,1.1623791,2.6641273,-0.44148597,0.0132545065,-1.6436406,1.7866585,0.3099661,-0.6597949,1.7860037,2.403318,0.5572437,0.5692935,0.6197387,-0.45806772,-1.0829242,0.822126
COV318,-1.2129043,0.21411648,0.8221997,-1.2175559,-0.5874804,2.6357963,1.7147353,-1.6557145,-1.1864166,-1.2736349,0.37686217,-1.8828175,0.42461482,1.4867249,3.0379632,3.8047538,-1.1815673,0.08815035,0.25002834,1.6051434,-2.6961946,0.46971166,0.22360355,2.1531382,-1.7328732,1.4885792,1.8285505,0.44315448,-1.2946758,-0.14821184,-0.36023077,-1.2161613,-0.8275435,-3.2778862,1.5237646,0.6577935,-0.6414588,0.8911681,-0.6882685,-2.2478664,4.107679,2.8255856,0.17802092,1.8328096,0.32751358,-2.1402655,0.37891516,1.836832,-0.68913853,0.1409668,0.28154093,1.8291373,0.40418804,2.0504653,1.3128716,0.619747,-2.5894458,5.2192254,-0.3874503,2.9291618,0.3466657,-0.4566612,0.9336785,0.9419636,0.9895525,1.0933708,0.22568327,-2.163166,-1.932258,-0.28712362,0.74139297,-1.5165375,-2.3308673,-1.3151841,0.05650966,-3.417172,0.9506306,0.37720186,-1.4553641,1.6252311,-1.1467874,-0.7295072,2.849245,-1.0622745,-1.7560655,-1.9070958,-1.0803771,-0.7986743,1.7271104,1.2709584,-0.33303636,1.4436014,1.4849552,1.3895526,-0.7371025,0.18690333,0.32445103,1.4738171,-1.4550729
SNU-478,-0.10883815,-2.2919712,-0.047204465,-1.4256221,-1.1846918,-0.6217278,-1.1365429,2.1051908,0.7075035,-2.1456504,-0.8001637,2.2657228,-0.48490554,3.2049654,-1.6262842,1.4713206,0.5105755,-0.37815246,1.2821951,-1.3181008,0.1250531,-1.1402613,0.36221218,-2.5363777,1.3825275,2.8935764,-0.99232185,1.034806,1.930784,0.24732661,-0.81057173,1.2584736,-0.5685408,0.23453113,-0.13916986,0.9375644,-0.21456419,-3.397376,-2.1874776,2.0121288,1.328962,-0.2749272,-0.7182378,0.8095629,-1.052656,2.1423821,-0.09232821,0.099953465,0.0125324465,-0.94239473,-3.2639186,0.46416777,1.0310558,1.2231616,0.37634617,-1.5578841,-0.25753734,0.37537056,-0.6823587,-1.0072162,-1.8236707,2.4677348,0.39334208,-2.2506397,-0.43184915,2.5983882,-2.6791873,-1.6371416,0.06052955,1.2380179,0.0018015634,-2.3079228,0.9099955,-1.890397,0.34562325,2.5814993,-0.19849409,-0.061406154,1.3554705,-1.7576222,0.89136034,0.5889426,-1.7913318,-1.4469451,-0.46622357,0.7840768,1.0985802,1.7406209,-0.15304692,-0.90947413,1.5239547,-3.8181481,1.1274806,1.8184029,-1.7870181,1.3197261,0.7208791,0.8083652,-0.28137192
OE19,1.9949414,-0.41551542,-1.9034542,-2.0895576,-0.3922778,0.30916104,-3.6181493,-1.1003344,-2.3177097,0.81559896,0.42263192,-0.506118,0.32029414,1.4103842,-0.18815121,0.21965502,-0.21672907,-0.048704993,-2.5103917,-1.0356158,-2.1951926,0.20969142,0.66070384,-0.25321504,-0.34344327,3.6474402,0.36127362,-1.6266782,-0.113193415,-1.0213026,0.28042245,-0.056270525,-0.3079731,-0.024718026,2.4338355,0.82592237,-0.6349808,-3.3223655,-0.93256503,-0.5186596,0.5491799,3.2422235,-3.0707088,0.24155654,1.6553313,0.56018513,-1.6247559,2.6069224,0.8494954,-0.3488686,2.5021033,-0.55447817,-0.44982257,0.03869766,0.9043415,0.018080093,2.0541093,-1.1249744,0.1988228,-1.819754,-2.4134157,-0.2031696,1.6120126,-2.3176923,-0.44953945,1.2261788,0.98959315,-1.9497209,1.591107,0.06819496,-1.1668196,-1.7962817,-1.8133032,-0.2530147,-1.0182092,0.03876235,-0.3805917,-0.8099295,1.9587663,0.3175325,-2.1448898,3.1318648,-0.9986779,-2.6775336,-4.043754,-2.546859,2.1284251,1.1559359,0.7282352,1.3155864,0.31394732,-1.9960533,-1.9710073,1.5773437,1.3833326,0.49421564,-2.2343888,-0.22916327,1.1679034
CHP-212,0.21795459,2.2349913,-0.955022,0.50938296,-0.637251,0.19639644,0.12560679,-1.8647872,0.8030022,-0.87094986,-0.903579,2.4446385,-1.2857658,-1.906389,0.38074625,0.24398147,-0.3683845,0.48088697,0.06157195,1.0721006,2.8394232,1.4446807,-2.2590778,1.9752196,0.19198637,-0.1072247,0.42838266,-2.3171492,-0.38541168,-1.0703621,-0.29828027,-0.37212345,-3.620985,0.42222333,-2.3269207,-0.44524673,2.1890633,-0.25459686,1.2231977,-0.40430516,-0.7685921,1.4328917,0.23492226,-2.3608959,2.112809,-0.09161608,1.192925,0.7712079,-2.9368966,-0.5705184,2.4663823,3.8852406,-0.50277394,2.2916408,-0.8267134,2.9167576,2.119617,0.039089724,0.5131645,-1.7356862,-0.72914004,-2.1949353,1.9928367,-0.79394925,-2.3726695,-0.7163603,-0.7221235,0.21399242,-0.58106565,-2.030857,-0.80377406,1.386066,1.4087126,-0.5930708,0.8897451,-1.2768726,0.4227571,-0.2180648,-0.37447575,1.4123198,-1.9481404,1.5648569,1.0032659,2.1931648,1.060729,2.237748,0.35732988,-3.0756087,1.389511,4.456464,-3.0652525,1.8020767,3.3780208,0.6379387,1.2925059,-0.88963324,0.72932094,-0.5457339,3.2001915
