,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69
SNU-387,0.6393108,1.6069468,0.52865165,-0.966453,1.630701,2.376448,1.6830499,1.7064261,0.21613243,0.59868586,0.67707396,-0.81293607,-1.3642877,-1.9478009,-1.5100186,-1.9056985,-0.28925467,0.9422438,-3.1549163,1.0443538,-3.3750298,3.013927,-1.0796762,1.6721216,1.6673639,-0.8851027,0.4677806,1.008481,-2.3170083,-1.0305694,0.5510652,0.98772657,-1.4837279,-0.6433769,0.38344646,1.1343665,0.14469104,-1.1066674,0.73835963,0.8596902,1.224974,0.43132365,-0.22715282,2.06553,0.16398253,2.81745,-0.55886817,0.5060498,0.39266208,1.6063141,0.28921878,1.6183914,0.11280473,1.6585261,1.21557,-1.5980306,-0.14607581,1.2867154,0.77514917,1.5786643,0.34951138,0.2830085,0.7016091,-2.1464314,0.9130697,-0.7104843,-1.2288115,1.5457569,1.9533236,0.80465704
Hs 766T,-0.68335944,0.62508696,0.6867263,1.5015239,-0.9748154,1.9605174,2.478971,-3.3910098,0.47098222,-0.6247181,2.1325378,-3.241805,-0.43121988,-0.34036002,0.74434704,-1.2632741,0.7106759,0.6627382,0.41662073,-2.2129025,-0.04795582,-0.162403,0.009807911,-0.24677268,-1.1006758,-0.07133091,-2.1938174,1.4029752,0.8912222,0.034166023,-0.34025675,2.2605915,-0.3934219,-1.0905486,-0.61886394,-2.074325,2.7851694,0.9158128,0.62729865,-1.4622297,0.21531442,-0.31517303,0.79413414,-1.0181013,-0.2778706,-0.5498475,-1.9504628,0.14019094,-0.37697327,-0.60902095,0.4633221,-1.8899753,0.2378608,-0.61811054,-0.94230556,-0.39890346,0.15052164,-0.065516934,-0.059847325,1.8247952,-0.33943188,-0.547944,0.9101136,-0.17235133,0.6631024,-0.09185041,-0.07332801,0.092875995,-0.6568154,-0.83710134
HOS,0.15118459,-1.1909822,-0.98223925,-0.067322925,-0.40606755,-0.10747311,-1.4863734,1.8524275,-0.3667228,-0.6965297,0.03556981,0.0047346232,-0.26556268,-0.5293294,1.5484369,0.09283395,-0.17794032,-0.31783506,-2.7388012,0.9598067,-0.8701463,-0.7221879,1.4105248,0.37682667,-0.8169494,-0.81204796,-1.0816506,-0.75716555,0.5805047,-1.1157497,-0.35668617,0.52506,-0.399164,0.23092432,-0.08207877,0.09193129,-1.4582405,-0.5693337,-0.5359488,0.19166018,0.7316495,0.18338636,-1.9905667,1.616005,-0.74176085,0.89602965,0.11380614,1.1733488,-2.062589,0.14162287,-0.019004254,1.6329834,-1.350484,0.2008801,1.5173582,-0.600307,-0.6895798,-0.6542699,0.06345065,-0.32396153,1.0948455,-1.6962999,0.7041422,-1.5672536,-0.07874013,1.0566475,0.15061931,0.0023061815,0.98158896,-0.5333323
SKM-1,-1.4264706,1.6722047,0.028299727,-2.0473754,-0.18582332,0.7823148,2.9846172,2.7408483,-0.58463776,-0.6035994,0.8589317,-0.7262587,-1.6032139,-3.0828886,0.906235,0.089432575,2.107924,0.8416128,0.23658541,-3.4600062,0.48418394,0.12902942,-1.9231396,-2.1546948,3.4026139,-0.19524877,-0.5355542,-0.9177843,0.004479848,-0.056930404,3.4234037,2.9096942,-1.5268257,0.0029791608,0.59033966,-1.0614583,1.44836,-1.041932,0.29096118,-0.33581114,-0.4804433,-0.8505705,1.1595349,-1.1839191,-0.6210541,-0.68833995,-1.4316127,-0.91152745,0.13401654,0.48680675,1.0369654,0.099839225,1.0920149,-1.3255987,4.108308,1.3575962,0.56858724,-1.3863158,-0.28368282,1.3347193,1.3281175,1.6623706,-2.1152353,0.83714825,-1.5783793,1.5269531,1.2179124,0.61232996,0.58773565,0.7143271
COLO 201,-0.7095657,-1.7328856,1.7511954,-1.1001071,0.6682996,4.0082374,1.2158116,1.638227,-0.13257845,0.23320636,-1.7904925,0.04257041,-2.799895,-1.5264637,-0.3469504,1.5897844,-0.07342107,0.73154354,0.6199149,-1.2318411,0.81104165,0.06989297,2.348843,-0.8722206,-2.9594347,1.2044824,2.778899,-0.9690064,1.381816,0.6271649,0.36794102,-1.8531442,-0.36032277,-1.6163238,2.7668386,-3.582658,1.48359,1.3521556,-0.20145115,-0.090926304,-1.2721831,-3.4065754,2.1643243,-0.71590465,1.0785748,-0.75119174,1.4803405,-2.1810842,1.8747814,0.07919927,-2.0191846,-1.8973958,2.0783417,-1.7689145,-0.91933155,-1.1101124,0.91171485,0.76063204,-0.8739637,1.6529313,-0.25727317,0.69043046,-0.18341371,-0.92814857,-1.925658,0.5612179,-0.16648212,-1.0868424,0.35199177,1.0349213
COV644,0.9080788,-2.681789,-0.48364186,1.4030904,-1.5121844,-0.17112616,0.57734543,2.4688938,2.511229,2.4305344,-2.3161445,-0.14437172,3.832791,2.1629899,-2.5167484,-2.048469,-0.23076107,0.8223969,-1.3521129,0.022269819,-2.1437306,1.4991307,1.723888,-0.89396995,0.54653287,-0.80802053,1.6014642,1.5065333,-0.1160938,1.4599533,-1.2571268,-0.050804943,-0.5618882,-1.7027436,1.0187033,0.6569009,-0.0022568367,-0.1073345,0.21809892,-0.5276768,1.215936,1.3346791,-2.3112698,0.65584767,0.61196184,-0.41658607,-0.3001537,-0.1543006,-0.43736055,0.9413206,-1.3777889,-1.6813933,0.74698174,-0.22744957,-2.467791,-0.4203355,-1.535746,-0.3700298,1.8718303,-0.2846477,2.1530387,0.38122794,-0.6579909,-0.6889789,-1.5824906,-1.5251509,-0.337747,2.5242817,-1.7209082,2.674514
OV7,-0.19567584,0.70088637,0.5590112,1.703082,-0.5296367,2.199875,0.70623296,-1.007198,-0.019519817,0.15572286,-0.3540848,-1.7291204,-0.9052066,-1.8436412,-0.9557973,-1.1669647,-0.5272674,-0.9856851,0.318153,-0.9277792,-0.0758065,-0.05986971,-0.17806235,-1.0596066,0.69889975,0.28861368,-0.36443415,1.0888838,-0.18935476,-1.4908518,-0.68008626,0.5042255,0.3891198,-1.2354035,-0.28290322,-2.480248,1.1325358,0.6350197,0.8714825,-0.6102283,-0.20427282,0.21196365,0.41736338,1.4067837,-0.7526473,0.13021079,-2.0621586,0.06132289,-0.18432957,-0.03710354,1.0121498,2.0256786,-0.053254157,-0.48673224,-0.4372635,-0.56454825,0.6343765,1.467007,-2.2116778,0.08621126,-0.91085535,0.41666603,1.6435186,-0.33288538,0.21833998,-0.2549071,0.6929084,-2.047521,0.5606751,-2.4915226
SK-BR-3,-1.2176564,-0.2877735,-0.60316855,1.0537735,0.041345336,-0.728689,-0.957695,0.39661777,1.8609419,1.2068148,-0.6098918,0.8918596,-1.811259,-1.1380221,-1.2348204,-0.90060854,0.53863645,1.8200195,-0.197024,0.052131254,-0.48336408,1.2988285,-1.2904422,-1.262274,-0.72169906,-0.026211895,2.2356305,1.3679436,0.6114543,0.58437866,1.0062821,-2.0660665,-0.4825573,0.35633853,-0.4313231,1.4115669,0.19637474,-1.5712293,-0.40673614,0.7728562,0.30270842,-0.14070728,-0.65607035,-0.7966602,-0.3622964,0.13803518,-0.034052707,-0.5750803,0.9307723,-1.2062883,-1.9073172,0.6929967,0.8131694,-1.3095447,0.9663124,0.99657637,-0.398483,-0.25102794,-0.2987209,0.36600432,-0.16127466,1.2856666,-1.2564062,0.3101498,-1.0950345,-0.1723356,-0.73179644,0.55535793,-1.2881647,2.2287657
SNU-1214,2.0554047,-0.10791993,-0.22125506,1.785747,-1.8671495,-0.3833955,0.18988751,-3.3510742,-1.3183665,-0.2178637,0.35570353,2.3104975,-0.6900566,-0.963919,3.297055,-0.26569787,-1.3514355,1.2838397,0.6024319,-2.0605774,0.69021213,3.1157362,-0.72869956,0.0875369,0.10113537,-0.2211611,-0.7288536,-1.08836,-0.2565078,-0.6808195,-1.7184194,-0.4898046,1.7709751,-3.254279,0.44468427,-0.15798277,0.35590857,-0.18102916,-0.29091245,0.11935106,-0.5521488,-2.1892822,-0.36984834,-2.160383,1.827637,2.3838618,1.610222,0.029975787,1.7888613,-0.28762662,-0.22351755,-2.0098448,-4.5542173,1.0183897,-0.9980584,-1.2453086,-2.6850202,-2.087633,-0.10739223,0.4352654,-0.49832672,-0.89413935,-0.212964,0.68345785,1.8458103,-0.42756435,0.06658395,0.6063723,-1.1694747,0.47883332
NCI-H1395,-2.5873024,-0.010338273,-4.668855,0.29590628,0.96652144,-0.75359297,0.23496427,1.5315063,-0.61465824,-1.3614337,0.40438882,0.61830145,-1.6682926,0.77992296,-3.3275647,0.89047873,2.284665,0.46112657,-0.57177377,-1.3999472,1.225288,-2.233995,-0.48706657,1.2450136,-0.55442834,-1.3948028,1.4889656,1.2449094,3.7546353,-0.14835007,-1.6867676,-0.6683028,-0.046459585,1.8057811,0.49575067,-0.34122553,-1.2677599,1.6501306,-1.0165411,0.25020134,-2.8128953,2.662636,0.27055952,-1.1474463,-0.040062983,0.26490638,0.69578594,-2.1836522,2.9497957,1.4553989,-1.7039455,-2.2475555,-1.6608257,-4.599582,-2.2210126,1.8825339,-2.8500578,-1.193973,1.0450585,-1.3730373,-2.43322,2.0110328,0.8790049,0.073378205,1.3910142,-0.99542767,-0.32640478,-0.8004725,-3.5895193,0.72966576
