,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79
UM-RC-2,-0.3061715,-0.11610168,-0.8948403,-0.08950874,-0.12639982,0.4858505,0.9446346,-0.37677345,0.2657081,0.6285367,-0.27205256,-0.04675462,-0.027598202,0.040623408,-0.21403942,-0.34140953,-0.33047643,-0.7301813,0.23460689,0.27454638,1.3124425,0.42769635,0.494122,0.2174431,-0.7689226,1.2540947,0.8064359,0.10975912,-0.11308107,-0.66200554,-0.08457825,0.6415092,-0.08863019,0.1719448,0.3654649,-1.7647575,0.7248848,-0.039480787,-0.8190725,0.7837494,1.031102,0.38072503,-1.1181743,0.9421617,-1.1158526,-0.7850886,0.5297615,-0.15439771,-0.88160205,-0.638839,0.15240271,0.8801125,0.18690902,0.90367895,-0.7591752,-0.54153985,-0.061518565,0.68610317,-0.68269277,-0.5248362,-0.020310104,-0.3506978,0.9770359,0.26885316,0.32422003,-0.7298045,-0.11231071,-1.0570991,0.33574858,-0.9621995,0.66605556,-1.1356205,-1.4966223,-0.31423548,-0.77119225,1.4958822,-0.66096085,0.7190402,-0.8850941,0.9524839
SK-MEL-5,0.58279186,0.29608876,-0.9897875,0.559057,1.2930645,1.1704817,-0.40749502,0.13399652,-0.034052312,1.1289456,0.5169557,0.8641119,-0.54638296,0.9143573,0.017991377,-0.33595115,1.2573667,-0.47559297,1.0855464,-1.1839721,-1.612267,-0.76953495,-0.037443697,-0.47005427,0.4644884,-1.2876451,0.36651778,0.5729707,0.9215958,-0.5571483,0.5148653,-0.5646291,0.033287376,1.1439474,0.3566702,0.835126,-0.85254025,-0.70345616,1.2360638,-1.1955416,0.4990335,-0.47127715,0.8954617,-1.0350113,1.0205467,0.12124923,0.104992114,-0.90048957,0.61062235,1.1874018,0.029396027,-2.1168485,-0.29202747,-0.9167638,-0.54066217,0.2615803,-0.41347417,0.16462043,1.459231,-1.0528446,0.6417193,-1.2085116,-2.043957,-0.4385523,0.54777515,1.2289249,-0.10260473,0.5086862,-1.1042901,-0.21044254,0.52620804,0.42270517,1.5514357,-0.40832323,0.8358805,-2.2614946,1.3566984,-0.973932,-1.3541698,-2.5265524
COR-L95,0.55305916,-0.9504558,0.5772462,0.05859422,0.09143387,-0.58335656,0.5183474,0.4742131,-0.33782735,0.1596514,-0.15969634,0.6524107,-0.5982177,-0.41111964,0.17635536,-0.6464196,0.5602151,-0.14148529,-0.3725791,-0.14917493,0.6921261,0.090966836,0.50291574,-0.8291775,-0.4678165,0.046911642,-0.657772,0.30404007,-0.38799933,0.6661323,0.014062248,1.1216078,0.38011822,-0.5764911,0.08785928,-0.90651757,0.815702,0.07212878,-0.16387534,0.9149724,-0.7860974,0.53316295,0.447197,0.89680016,-0.70029545,-0.8522453,0.544731,0.10033306,-0.89214045,-0.2869501,0.26287475,0.096493945,-0.20598817,0.2731459,0.33113366,0.059152,0.0076364577,-0.031959772,-0.9922721,0.017873883,-0.668171,1.2038423,1.4694626,0.14943022,-0.3308915,-0.22740942,0.39923632,-0.4210368,-0.75771827,-0.3065128,1.5191476,0.11190779,-0.5865539,1.0406535,0.023406535,1.9211941,-0.4843156,0.1238883,0.17494562,0.9997745
Hs 939.T,-0.025585232,-0.39105442,-0.78624177,-0.20246422,0.4427248,1.2508914,-0.025148228,-0.2392802,0.67831886,1.0891272,1.2249111,0.3003052,-0.028165963,0.14746405,0.18498537,-0.46387658,1.0168114,-0.9946755,0.5564942,-0.06740677,0.12017938,0.33507892,0.5208483,0.68221545,0.17002821,0.13736129,2.0463908,0.8965042,0.48759297,-0.09279878,-0.30337393,0.3982625,-0.4066713,0.9749256,0.83062226,-1.2036685,0.82490474,-0.3017481,-0.043139715,1.1925484,1.1496148,0.90975136,-0.96283877,0.6447063,-0.04149854,-0.3816305,0.78054917,-1.3649976,-0.11266869,-0.38760793,-0.08246266,0.6396037,0.77615255,0.43096796,-0.8781091,0.26028517,0.24048975,1.7613887,0.6280729,-0.90926033,0.7859544,-0.6940463,-0.5566302,-0.60891855,1.3494084,0.15852839,0.41862106,-0.38062605,-1.1261381,-1.7185549,0.55549693,-1.093151,-0.051950693,0.0554196,-0.19192442,0.99401176,0.4274106,0.23842998,-1.726291,-0.5571986
RPMI-7951,0.10963439,0.05421342,-1.7452402,-0.76088554,0.03938926,0.5270945,1.0113229,1.0250334,0.5514761,-0.14414862,-2.8939972,0.52168554,2.2829,-0.6354638,0.46405306,1.285184,0.5713386,-0.3143196,-1.2460907,1.2801309,-0.7370505,-0.16891089,-0.58845073,0.7051472,1.0031252,0.08995888,1.4538903,-0.17108054,2.0359495,0.83114713,-0.038819164,-1.1395947,1.9377378,-1.1925011,0.42453334,0.68924737,-1.1089792,0.42302227,-1.2515335,-0.9894818,-1.5583037,0.79529727,-0.97449213,-1.2934192,2.6768985,0.23497099,0.47395965,0.8669107,-0.75969654,0.3154155,-0.28605345,-0.1639846,-0.63376194,-0.08972475,0.15339829,-0.87428904,-0.0758705,2.0301058,0.15958434,-1.3060521,-0.72020537,-1.4842873,-0.98887825,1.6561211,1.1611784,-0.52758396,-0.2789322,1.4139265,0.51496774,0.24763522,-1.0031072,0.032661706,0.28284496,0.484778,1.429431,0.24164826,-0.6255641,1.0767353,0.16039598,-1.7712986
HGC-27,0.7277562,0.29241365,2.5752401,1.6809263,0.80868363,-1.3437985,-1.465537,-0.0995903,-0.54630774,1.2368698,0.78612185,-3.1040287,-2.381087,1.187684,0.7304489,-0.6287636,1.6169515,0.19560446,2.6402793,-0.2120536,-2.0728643,1.7888154,2.1408505,-0.30730987,0.8188784,1.0333766,-1.3612403,-1.3711042,-1.4603157,-1.7764438,1.4265623,-0.038286284,-1.4976974,1.3096209,-0.4316821,-0.41695076,2.3434691,-0.59418666,-1.2918136,-1.6187751,0.6289048,0.37833202,-0.79986745,-0.45903954,-1.1522857,0.12229058,-2.477923,-2.99907,1.6563382,-0.3601621,2.0333598,-2.4802928,1.2237453,-0.19773878,1.0440562,2.5603454,-1.3212366,-1.8863785,-0.39977005,2.950982,1.3566138,2.2863038,-1.0051361,-2.2547474,-1.5887898,0.8625614,0.45708516,1.9718317,-2.0048802,1.079747,-0.7678886,0.78302246,2.667763,-0.73009574,1.7684033,-0.893189,2.5909111,-1.5705322,-0.063384324,-1.3623323
KO52,-0.68498224,-0.72433156,2.2520823,0.42628318,-1.2128997,-1.1707486,0.08338689,-0.28579235,-0.8510495,-0.33428413,0.026468068,0.9994331,0.49071583,-0.2229923,-0.08989763,-0.9887556,-0.8225724,1.0749798,0.40863708,1.0902834,1.9721032,1.0255681,0.45506507,-1.1104531,-1.0456935,1.0026579,-0.7007523,-0.337363,-0.40433335,-1.280069,-0.34904867,2.0521483,1.3054318,-1.0585257,-1.4739358,-2.2239664,1.195697,-0.07588699,-0.49662283,0.72420853,-1.3834736,0.6784295,0.75428087,2.2294571,-2.667152,-0.85170007,0.10638052,1.0068225,-0.44020763,0.55912143,-0.78828704,1.2306836,-1.4424309,2.268263,2.2153988,0.8038463,-0.5425705,0.1255236,-2.217233,0.44887733,-0.45832747,2.4571693,1.3034428,0.8919045,-1.2821639,-2.0992656,0.80778056,0.41149336,1.4721347,0.44865906,1.2893202,0.5061264,-0.82936406,2.8614273,-0.8298436,2.6589446,-2.0624049,0.623198,1.9598253,1.7154871
TT,0.16637124,-0.64810777,0.88292855,-0.8658923,-0.28429893,-0.7218757,0.5310104,0.7802533,-0.22917199,0.4272935,-1.2522539,-0.09693259,0.052215375,-0.65768206,0.4585081,-0.52029586,0.6744516,-0.24113952,-1.1727735,0.6992497,-0.5820224,0.59723365,0.8007728,0.88843393,-0.647125,1.2989044,0.3644992,0.069090724,0.76649976,0.4200668,-0.84249175,0.5507488,0.6501528,-1.1475557,-0.21483058,-0.6540607,0.88523835,-0.07379511,-1.2519231,0.74063534,-0.9465975,1.4252952,-0.9816172,0.53432506,-0.19625008,-1.1503974,-0.034835964,-0.08565163,-1.2774588,-0.93790877,1.3410547,-0.32680205,0.67469907,0.51276916,0.6210966,-0.18803436,-0.8674157,0.7283565,-1.5610741,0.4446056,-1.196127,0.46425244,1.616919,1.1551349,-0.2904501,-0.7047758,-0.24337418,0.057858884,0.69481957,0.03482612,0.9319151,0.2789787,0.12835786,1.1725147,0.7782172,2.7765174,-0.2445093,0.93241835,-0.37183362,0.9754511
EFM-19,-1.1539966,1.2820809,-0.699992,0.39168978,-0.08700417,-2.2307112,0.029946104,-0.8630689,0.7922808,-1.5997559,-2.581199,-3.675078,1.8334404,-0.46667936,1.8458842,1.5236031,-2.9888294,1.1297827,-1.9248483,2.5233166,-0.034566507,0.9632267,-0.78986377,-0.85672,0.16902295,0.84345406,-0.19397616,-2.6429567,-0.33624727,0.5250299,-0.67599505,-1.5476727,-0.18427578,-0.58954376,0.073800236,-0.32632637,-0.33129734,0.5115932,-1.7087964,-1.8222886,-1.1118748,1.1666335,-0.59821534,-2.8812213,1.572947,0.603226,-1.2172284,1.2923367,0.77825004,0.9004219,0.7285706,1.3774068,1.0010986,-0.5995898,-0.18056566,1.0320541,1.3971502,-2.1994178,0.84816027,-1.4261279,0.73173696,-0.91380477,0.26145205,0.68317544,0.7149284,-1.3401874,-0.90170133,-0.094367206,1.8601797,2.2212603,-2.9489484,0.103349656,0.3485451,-1.3165327,-1.6153508,0.6358407,-0.33095783,0.52819926,2.3969996,0.35315394
C2BBe1,-0.252308,1.3625516,-4.227435,-0.5728941,1.6481526,-1.0425018,-0.8797557,1.2880316,-0.5816163,-1.2760235,-3.1840293,3.582477,0.6339842,1.3086525,0.6515009,2.6796834,-2.484777,0.6512609,-2.5235722,-0.49817228,1.9599093,-4.3190966,-5.6636996,-1.2691848,0.032868072,-3.3052816,-3.0856652,-2.4953256,0.80142444,3.8778353,0.86842954,-4.251116,0.73154926,-1.5590826,0.07725519,5.7335057,-5.263521,1.1070322,2.0001533,-4.457304,-4.3237925,-4.900748,1.0030961,-3.2645125,4.666816,2.7947702,-0.9950096,5.88089,-0.52568895,4.649599,-3.0581093,-1.4098749,0.7112552,-1.9304941,1.8926533,-2.4717376,0.40285617,-1.6744102,3.864762,-3.1357694,-0.46322632,-3.727677,-3.840041,4.1467323,1.3200469,0.80455714,0.45503303,1.963725,2.653412,1.6605006,-2.3760254,4.3117414,1.1463828,-1.6500326,-1.1759119,-6.2530212,0.33225477,-2.2144833,2.987176,-5.307015
